Issue Type,Issue key,Issue id,Summary,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Sub-task,TGTM-1052,17605,Migrate existing developer and asset LOI records into the tracker,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:58 PM,,"Hierarchy / linkage
- Issue: TGTM-1052 — Migrate existing developer and asset LOI records into the tracker
- Issue Type: Sub-task
- Workstream: LOI pipeline management
- Parent: TGTM-134 — Create LOI tracker (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Sub-task completes a focused implementation step under its parent item. Original description: Collect any current LOI information and enter it into the new tracker so signed and pending LOIs are captured in one place.

How we are doing this
- Confirm the parent objective and the exact record, process, or artifact this item must improve.
- Create the work product using the agreed CRM fields, stage model, and ownership rules.
- Validate the output with representative records or examples.
- Document completion evidence and handoff instructions for the next owner.

Preliminary solution
Use a dedicated LOI tracker inside the CRM or operating workspace, linked to developer, asset, partner, and opportunity records. Configure statuses such as Draft, Sent, Under Review, Negotiation, Signed, Expired, and Not Proceeding; require document links, expiry dates, owner, and next action before a record can be considered current.

CRM / operating data model
Use this item to strengthen the LOI pipeline management layer of the GTM operating system. Minimum fields or data points to capture: LOI status, counterparty type, asset / developer name, signed date, expiry / validity date, commercial notes, document link. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A populated tracker with required fields, ownership rules, views, and update cadence defined.

Dependencies / inputs
- existing LOI records and document links
- developer / asset opportunity data
- legal or commercial owner input
- developer target list
- asset onboarding criteria
- sales stage definitions

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- over-customizing the CRM before process-market fit is proven
- incomplete records causing unreliable reporting
- unclear ownership leading to stale pipeline data

Acceptance criteria
- Tracker contains the required fields, statuses, owners, and next-action structure.
- Initial records are loaded or sample records demonstrate the structure.
- Team members can filter the tracker for priority, status, owner, and next step.",10278,TGTM-134,Create LOI tracker
Task,TGTM-1051,17603,Create LOI reporting and pipeline visibility,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:58 PM,,"Hierarchy / linkage
- Issue: TGTM-1051 — Create LOI reporting and pipeline visibility
- Issue Type: Task
- Workstream: LOI pipeline management
- Parent: TGTM-134 — Create LOI tracker (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Task executes a concrete part of the parent Story or upstream workflow. Original description: Add summary reporting for signed and pending LOIs, including counts and status breakdowns to support the broader pilot/LOI pipeline reporting discipline.

How we are doing this
- Create the required CRM object, property, view, sequence, workflow, dashboard, tracker, or template.
- Apply the parent-stage logic, required fields, ownership rules, and naming conventions.
- Test the configuration with sample records and confirm data flows into the correct views and reports.
- Document how the team should use, update, and maintain the asset.

Preliminary solution
Use a dedicated LOI tracker inside the CRM or operating workspace, linked to developer, asset, partner, and opportunity records. Configure statuses such as Draft, Sent, Under Review, Negotiation, Signed, Expired, and Not Proceeding; require document links, expiry dates, owner, and next action before a record can be considered current.

CRM / operating data model
Use this item to strengthen the LOI pipeline management layer of the GTM operating system. Minimum fields or data points to capture: LOI status, counterparty type, asset / developer name, signed date, expiry / validity date, commercial notes, document link. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A live CRM dashboard or reporting view showing funnel movement, status distribution, owner accountability, and next actions.

Dependencies / inputs
- selected CRM platform and admin access
- approved pipeline stage definitions
- required CRM property list
- existing LOI records and document links
- developer / asset opportunity data
- legal or commercial owner input

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- over-customizing the CRM before process-market fit is proven
- incomplete records causing unreliable reporting
- unclear ownership leading to stale pipeline data

Acceptance criteria
- Report or dashboard shows the required funnel, stage, source, owner, and status information.
- Data can be filtered by relevant segment, owner, stage, and priority.
- At least three sample or live records validate that reporting logic works as expected.",10278,TGTM-134,Create LOI tracker
Sub-task,TGTM-1050,17602,Define LOI tracker structure and status model,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:58 PM,,"Hierarchy / linkage
- Issue: TGTM-1050 — Define LOI tracker structure and status model
- Issue Type: Sub-task
- Workstream: LOI pipeline management
- Parent: TGTM-134 — Create LOI tracker (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Sub-task completes a focused implementation step under its parent item. Original description: Specify the fields, stages, and ownership for tracking developer and asset LOIs, including signed vs. pending status, counterparty type, key dates, and next-action fields.

How we are doing this
- Translate the parent objective into concrete fields, stages, criteria, or segmentation rules.
- Document definitions clearly enough that different team members would classify records the same way.
- Validate the model against real or sample developer, investor, partner, or LOI records.
- Mark required fields, owner responsibilities, and decision points that should be enforced in the CRM.

Preliminary solution
Use a dedicated LOI tracker inside the CRM or operating workspace, linked to developer, asset, partner, and opportunity records. Configure statuses such as Draft, Sent, Under Review, Negotiation, Signed, Expired, and Not Proceeding; require document links, expiry dates, owner, and next action before a record can be considered current.

CRM / operating data model
Use this item to strengthen the LOI pipeline management layer of the GTM operating system. Minimum fields or data points to capture: LOI status, counterparty type, asset / developer name, signed date, expiry / validity date, commercial notes, document link. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A populated tracker with required fields, ownership rules, views, and update cadence defined.

Dependencies / inputs
- existing LOI records and document links
- developer / asset opportunity data
- legal or commercial owner input

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- over-customizing the CRM before process-market fit is proven
- incomplete records causing unreliable reporting
- unclear ownership leading to stale pipeline data

Acceptance criteria
- Tracker contains the required fields, statuses, owners, and next-action structure.
- Initial records are loaded or sample records demonstrate the structure.
- Team members can filter the tracker for priority, status, owner, and next step.",10278,TGTM-134,Create LOI tracker
Sub-task,TGTM-1049,17600,Set up LOI follow-up reminders and ownership,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:58 PM,,"Hierarchy / linkage
- Issue: TGTM-1049 — Set up LOI follow-up reminders and ownership
- Issue Type: Sub-task
- Workstream: LOI pipeline management
- Parent: TGTM-134 — Create LOI tracker (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Sub-task completes a focused implementation step under its parent item. Original description: Add a process or automation for reminding owners to follow up on pending LOIs and keep next steps current.

How we are doing this
- Create the required CRM object, property, view, sequence, workflow, dashboard, tracker, or template.
- Apply the parent-stage logic, required fields, ownership rules, and naming conventions.
- Test the configuration with sample records and confirm data flows into the correct views and reports.
- Document how the team should use, update, and maintain the asset.

Preliminary solution
Use a dedicated LOI tracker inside the CRM or operating workspace, linked to developer, asset, partner, and opportunity records. Configure statuses such as Draft, Sent, Under Review, Negotiation, Signed, Expired, and Not Proceeding; require document links, expiry dates, owner, and next action before a record can be considered current.

CRM / operating data model
Use this item to strengthen the LOI pipeline management layer of the GTM operating system. Minimum fields or data points to capture: LOI status, counterparty type, asset / developer name, signed date, expiry / validity date, commercial notes, document link. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A configured CRM workflow, view, pipeline, object, or operating template ready for team use.

Dependencies / inputs
- existing LOI records and document links
- developer / asset opportunity data
- legal or commercial owner input

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- signed and pending LOIs being tracked outside the source of truth
- missing expiry or follow-up dates
- unclear ownership of commercial next steps

Acceptance criteria
- The work product is completed in the CRM or GTM operating workspace and linked to the parent workflow.
- Required fields, ownership, status, and next action are visible and understandable.
- The output is reviewed for completeness and can be used by the GTM team without additional interpretation.",10278,TGTM-134,Create LOI tracker
Task,TGTM-1048,17599,Build the LOI tracker in the CRM or operating system,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:58 PM,,"Hierarchy / linkage
- Issue: TGTM-1048 — Build the LOI tracker in the CRM or operating system
- Issue Type: Task
- Workstream: LOI pipeline management
- Parent: TGTM-134 — Create LOI tracker (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Task executes a concrete part of the parent Story or upstream workflow. Original description: Create the actual tracker to log and manage developer and asset LOIs in a centralized place, with views for current pipeline and status by counterparty.

How we are doing this
- Create the required CRM object, property, view, sequence, workflow, dashboard, tracker, or template.
- Apply the parent-stage logic, required fields, ownership rules, and naming conventions.
- Test the configuration with sample records and confirm data flows into the correct views and reports.
- Document how the team should use, update, and maintain the asset.

Preliminary solution
Use a dedicated LOI tracker inside the CRM or operating workspace, linked to developer, asset, partner, and opportunity records. Configure statuses such as Draft, Sent, Under Review, Negotiation, Signed, Expired, and Not Proceeding; require document links, expiry dates, owner, and next action before a record can be considered current.

CRM / operating data model
Use this item to strengthen the LOI pipeline management layer of the GTM operating system. Minimum fields or data points to capture: LOI status, counterparty type, asset / developer name, signed date, expiry / validity date, commercial notes, document link. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A populated tracker with required fields, ownership rules, views, and update cadence defined.

Dependencies / inputs
- selected CRM platform and admin access
- approved pipeline stage definitions
- required CRM property list
- existing LOI records and document links
- developer / asset opportunity data
- legal or commercial owner input

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- over-customizing the CRM before process-market fit is proven
- incomplete records causing unreliable reporting
- unclear ownership leading to stale pipeline data

Acceptance criteria
- Tracker contains the required fields, statuses, owners, and next-action structure.
- Initial records are loaded or sample records demonstrate the structure.
- Team members can filter the tracker for priority, status, owner, and next step.",10278,TGTM-134,Create LOI tracker
Task,TGTM-1047,17593,Set up the recurring weekly pipeline review meeting,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:58 PM,,"Hierarchy / linkage
- Issue: TGTM-1047 — Set up the recurring weekly pipeline review meeting
- Issue Type: Task
- Workstream: weekly pipeline governance
- Parent: TGTM-133 — Create weekly pipeline review ritual (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Task executes a concrete part of the parent Story or upstream workflow. Original description: Schedule the recurring meeting in the team calendar with the right cadence, duration, and attendees. Ensure it repeats weekly and is visible to the relevant GTM stakeholders.

How we are doing this
- Create the required CRM object, property, view, sequence, workflow, dashboard, tracker, or template.
- Apply the parent-stage logic, required fields, ownership rules, and naming conventions.
- Test the configuration with sample records and confirm data flows into the correct views and reports.
- Document how the team should use, update, and maintain the asset.

Preliminary solution
Create a weekly GTM pipeline review ritual driven by CRM dashboards and a lightweight action log. The review should focus on stage movement, stuck records, high-priority accounts, upcoming decisions, owner commitments, and risks requiring founder escalation.

CRM / operating data model
Use this item to strengthen the weekly pipeline governance layer of the GTM operating system. Minimum fields or data points to capture: pipeline stage, movement since last review, blocked item, decision required, follow-up owner, follow-up due date. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A recurring operating ritual with agenda, data inputs, decision log, and follow-up action tracker.

Dependencies / inputs
- selected CRM platform and admin access
- approved pipeline stage definitions
- required CRM property list

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- over-customizing the CRM before process-market fit is proven
- incomplete records causing unreliable reporting
- unclear ownership leading to stale pipeline data

Acceptance criteria
- Meeting cadence, agenda, required inputs, and action-log format are documented.
- Owners and due dates can be assigned and reviewed weekly.
- The ritual produces visible decisions, escalations, and follow-up actions.",10277,TGTM-133,Create weekly pipeline review ritual
Task,TGTM-1046,17592,Create a pipeline review tracking template,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:58 PM,,"Hierarchy / linkage
- Issue: TGTM-1046 — Create a pipeline review tracking template
- Issue Type: Task
- Workstream: weekly pipeline governance
- Parent: TGTM-133 — Create weekly pipeline review ritual (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Task executes a concrete part of the parent Story or upstream workflow. Original description: Build a reusable template or document to capture weekly updates, decisions, risks, blockers, and follow-up actions for each review meeting.

How we are doing this
- Create the required CRM object, property, view, sequence, workflow, dashboard, tracker, or template.
- Apply the parent-stage logic, required fields, ownership rules, and naming conventions.
- Test the configuration with sample records and confirm data flows into the correct views and reports.
- Document how the team should use, update, and maintain the asset.

Preliminary solution
Create a weekly GTM pipeline review ritual driven by CRM dashboards and a lightweight action log. The review should focus on stage movement, stuck records, high-priority accounts, upcoming decisions, owner commitments, and risks requiring founder escalation.

CRM / operating data model
Use this item to strengthen the weekly pipeline governance layer of the GTM operating system. Minimum fields or data points to capture: pipeline stage, movement since last review, blocked item, decision required, follow-up owner, follow-up due date. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A recurring operating ritual with agenda, data inputs, decision log, and follow-up action tracker.

Dependencies / inputs
- selected CRM platform and admin access
- approved pipeline stage definitions
- required CRM property list

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- over-customizing the CRM before process-market fit is proven
- incomplete records causing unreliable reporting
- unclear ownership leading to stale pipeline data

Acceptance criteria
- Meeting cadence, agenda, required inputs, and action-log format are documented.
- Owners and due dates can be assigned and reviewed weekly.
- The ritual produces visible decisions, escalations, and follow-up actions.",10277,TGTM-133,Create weekly pipeline review ritual
Task,TGTM-1045,17591,Prepare source data for weekly GTM pipeline review,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:59 PM,,"Hierarchy / linkage
- Issue: TGTM-1045 — Prepare source data for weekly GTM pipeline review
- Issue Type: Task
- Workstream: weekly pipeline governance
- Parent: TGTM-133 — Create weekly pipeline review ritual (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Task executes a concrete part of the parent Story or upstream workflow. Original description: Identify the reports, dashboards, or CRM views needed to populate the weekly review with current information on supply, demand, partnerships, compliance, and campaign performance.

How we are doing this
- Identify the minimum weekly data inputs needed from CRM records and owners.
- Create an agenda that forces decisions on pipeline movement, stuck records, priority targets, and risks.
- Track decisions and follow-up actions with owners and due dates.
- Use the ritual to improve data quality and convert GTM activity into execution accountability.

Preliminary solution
Create a weekly GTM pipeline review ritual driven by CRM dashboards and a lightweight action log. The review should focus on stage movement, stuck records, high-priority accounts, upcoming decisions, owner commitments, and risks requiring founder escalation.

CRM / operating data model
Use this item to strengthen the weekly pipeline governance layer of the GTM operating system. Minimum fields or data points to capture: pipeline stage, movement since last review, blocked item, decision required, follow-up owner, follow-up due date. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A recurring operating ritual with agenda, data inputs, decision log, and follow-up action tracker.

Dependencies / inputs
- selected CRM platform and admin access
- approved pipeline stage definitions
- required CRM property list

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- over-customizing the CRM before process-market fit is proven
- incomplete records causing unreliable reporting
- unclear ownership leading to stale pipeline data

Acceptance criteria
- Meeting cadence, agenda, required inputs, and action-log format are documented.
- Owners and due dates can be assigned and reviewed weekly.
- The ritual produces visible decisions, escalations, and follow-up actions.",10277,TGTM-133,Create weekly pipeline review ritual
Task,TGTM-1044,17589,Define weekly pipeline review agenda and scorecard,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:59 PM,,"Hierarchy / linkage
- Issue: TGTM-1044 — Define weekly pipeline review agenda and scorecard
- Issue Type: Task
- Workstream: weekly pipeline governance
- Parent: TGTM-133 — Create weekly pipeline review ritual (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Task executes a concrete part of the parent Story or upstream workflow. Original description: Create the standard agenda for the weekly GTM review, covering developer supply, investor demand, partner progress, compliance blockers, and campaign performance. Define the key metrics and status fields to be reviewed each week.

How we are doing this
- Translate the parent objective into concrete fields, stages, criteria, or segmentation rules.
- Document definitions clearly enough that different team members would classify records the same way.
- Validate the model against real or sample developer, investor, partner, or LOI records.
- Mark required fields, owner responsibilities, and decision points that should be enforced in the CRM.

Preliminary solution
Create a weekly GTM pipeline review ritual driven by CRM dashboards and a lightweight action log. The review should focus on stage movement, stuck records, high-priority accounts, upcoming decisions, owner commitments, and risks requiring founder escalation.

CRM / operating data model
Use this item to strengthen the weekly pipeline governance layer of the GTM operating system. Minimum fields or data points to capture: pipeline stage, movement since last review, blocked item, decision required, follow-up owner, follow-up due date. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A documented criteria model that enables consistent scoring, qualification, prioritization, and stage progression decisions.

Dependencies / inputs
- selected CRM platform and admin access
- approved pipeline stage definitions
- required CRM property list

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- over-customizing the CRM before process-market fit is proven
- incomplete records causing unreliable reporting
- unclear ownership leading to stale pipeline data

Acceptance criteria
- Criteria are documented in plain language with clear scoring or classification rules.
- The model is tested against representative records and produces usable priority decisions.
- Owners understand when to advance, pause, disqualify, or escalate a record.",10277,TGTM-133,Create weekly pipeline review ritual
Task,TGTM-1043,17590,Establish owners and follow-up action tracking for pipeline reviews,Sales Ops & CRM,Medium,To Do,,01/Jul/26 8:49 AM,01/Jul/26 3:59 PM,,"Hierarchy / linkage
- Issue: TGTM-1043 — Establish owners and follow-up action tracking for pipeline reviews
- Issue Type: Task
- Workstream: weekly pipeline governance
- Parent: TGTM-133 — Create weekly pipeline review ritual (Story)
- Grandparent / Epic Context: TGTM-12 — Implement sales, CRM, ABM, and partnership operations

Original intent
This Task executes a concrete part of the parent Story or upstream workflow. Original description: Define who is responsible for each pipeline area and create a process to log action items, assign owners, and track completion between weekly meetings.

How we are doing this
- Identify the minimum weekly data inputs needed from CRM records and owners.
- Create an agenda that forces decisions on pipeline movement, stuck records, priority targets, and risks.
- Track decisions and follow-up actions with owners and due dates.
- Use the ritual to improve data quality and convert GTM activity into execution accountability.

Preliminary solution
Create a weekly GTM pipeline review ritual driven by CRM dashboards and a lightweight action log. The review should focus on stage movement, stuck records, high-priority accounts, upcoming decisions, owner commitments, and risks requiring founder escalation.

CRM / operating data model
Use this item to strengthen the weekly pipeline governance layer of the GTM operating system. Minimum fields or data points to capture: pipeline stage, movement since last review, blocked item, decision required, follow-up owner, follow-up due date. Where possible, link records back to the relevant developer, investor, partner, opportunity, LOI, referral source, campaign, or meeting record so management reporting can connect activity to pipeline outcomes.

Expected deliverable
A recurring operating ritual with agenda, data inputs, decision log, and follow-up action tracker.

Dependencies / inputs
- selected CRM platform and admin access
- approved pipeline stage definitions
- required CRM property list

Implementation notes
- Keep the workflow lightweight enough for founder-led execution but structured enough to support SDR handoff, weekly reporting, and scale-up.
- Use clear naming conventions and required fields so records can be filtered, audited, and reviewed without manual reconstruction.
- Avoid creating disconnected spreadsheets when the same information should live in the CRM source of truth.
- Where automation is not available yet, create a manual operating process with owner, cadence, and review trigger.

Risks / watchouts
- over-customizing the CRM before process-market fit is proven
- incomplete records causing unreliable reporting
- unclear ownership leading to stale pipeline data

Acceptance criteria
- Meeting cadence, agenda, required inputs, and action-log format are documented.
- Owners and due dates can be assigned and reviewed weekly.
- The ritual produces visible decisions, escalations, and follow-up actions.",10277,TGTM-133,Create weekly pipeline review ritual
