Issue Type,Issue key,Issue id,Summary,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Task,TGTM-462,16427,Review compliance and positioning language for minimum-investment claims,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Parent Story context: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-57 Story: Test AED 2k-5k minimum investment positioning for broader waitlist > TGTM-462 Task: Review compliance and positioning language for minimum-investment claims.

Original intent:
Validate that the AED 2k-5k messaging is accurate, non-committal, and aligned with investor communications standards before publishing.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Test AED 2k-5k minimum investment positioning for broader waitlist. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Create a compliance review checklist, compare the proposed language against approved investor communication standards, flag unsupported claims, and rewrite any copy that could imply guaranteed access, returns, liquidity, eligibility, or regulatory approval.

Preliminary solution:
maintain a copy-review matrix with columns for claim, risk level, recommended wording, approval status, and reviewer notes. Use conservative language such as “target,” “test,” “expected,” or “subject to eligibility” where appropriate.

Deliverable:
Approved language matrix, redline notes, and final compliant copy snippets.

Dependencies / inputs:
current waitlist page, investor persona definitions, CRM segments, approved compliance language, analytics baseline, email engagement data

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: waitlist conversion rate, qualified signup rate, CTR, bounce rate, segment-level engagement, compliance review outcome, objection rate.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10201,TGTM-57,Test AED 2k-5k minimum investment positioning for broader waitlist
Task,TGTM-461,16420,Define audience segments for lower-ticket positioning test,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Parent Story context: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-57 Story: Test AED 2k-5k minimum investment positioning for broader waitlist > TGTM-461 Task: Define audience segments for lower-ticket positioning test.

Original intent:
Specify which investor segments should receive the AED 2k-5k messaging, such as UAE/GCC HNWIs, sophisticated investors, expats, and digital-native investors, to compare response by cohort.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Test AED 2k-5k minimum investment positioning for broader waitlist. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Translate investor personas into practical audience cohorts using CRM attributes, declared interest, geography, language, ticket size, sophistication, engagement level, and source channel.

Preliminary solution:
create named CRM cohorts such as UAE/GCC HNWIs, sophisticated investors, expat professionals, digital-native investors, Arabic-first investors, webinar-engaged investors, and lower-ticket waitlist prospects.

Deliverable:
Segment definition table with inclusion/exclusion rules, CRM filters, and recommended messaging angle per segment.

Dependencies / inputs:
current waitlist page, investor persona definitions, CRM segments, approved compliance language, analytics baseline, email engagement data

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: waitlist conversion rate, qualified signup rate, CTR, bounce rate, segment-level engagement, compliance review outcome, objection rate.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10201,TGTM-57,Test AED 2k-5k minimum investment positioning for broader waitlist
Task,TGTM-460,16421,Set success metrics for broader waitlist demand test,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Parent Story context: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-57 Story: Test AED 2k-5k minimum investment positioning for broader waitlist > TGTM-460 Task: Set success metrics for broader waitlist demand test.

Original intent:
Define the key metrics for evaluating the test, including waitlist conversion, click-through rate, sign-up quality, and segment-level engagement.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Test AED 2k-5k minimum investment positioning for broader waitlist. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Define the measurement framework before launch, including funnel events, source attribution, conversion definitions, segment cuts, reporting cadence, and decision thresholds.

Preliminary solution:
use a lightweight GTM dashboard covering impressions/visits, clicks, signups, qualification rate, email engagement, webinar engagement, booked calls, and investor progression by segment.

Deliverable:
KPI dictionary, event list, dashboard requirements, and pass/fail thresholds for the initiative.

Dependencies / inputs:
current waitlist page, investor persona definitions, CRM segments, approved compliance language, analytics baseline, email engagement data

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: waitlist conversion rate, qualified signup rate, CTR, bounce rate, segment-level engagement, compliance review outcome, objection rate.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10201,TGTM-57,Test AED 2k-5k minimum investment positioning for broader waitlist
Task,TGTM-459,16419,Draft lower-ticket AED 2k-5k waitlist messaging variants,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Parent Story context: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-57 Story: Test AED 2k-5k minimum investment positioning for broader waitlist > TGTM-459 Task: Draft lower-ticket AED 2k-5k waitlist messaging variants.

Original intent:
Create alternative copy angles that position AED 2k-5k as an accessibility test for the waitlist, without implying guaranteed launch availability or product commitment.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Test AED 2k-5k minimum investment positioning for broader waitlist. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Draft copy around the parent initiative’s investor objective, then produce variants by segment, language, funnel stage, and risk sensitivity.

Preliminary solution:
write copy in modular blocks: headline, trust proof, education angle, eligibility caveat, CTA, FAQ/objection response, and compliance disclaimer. Keep variants short enough for landing page, email, and CRM reuse.

Deliverable:
Copy bank with approved variants, recommended placement, and target segment for each message.

Dependencies / inputs:
current waitlist page, investor persona definitions, CRM segments, approved compliance language, analytics baseline, email engagement data

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: waitlist conversion rate, qualified signup rate, CTR, bounce rate, segment-level engagement, compliance review outcome, objection rate.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10201,TGTM-57,Test AED 2k-5k minimum investment positioning for broader waitlist
Task,TGTM-458,16418,Update waitlist landing page to test broader minimum-investment language,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Parent Story context: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-57 Story: Test AED 2k-5k minimum investment positioning for broader waitlist > TGTM-458 Task: Update waitlist landing page to test broader minimum-investment language.

Original intent:
Revise the investor waitlist page with a broader lower-ticket callout and supporting disclaimer so the market response can be assessed before any launch decision.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Test AED 2k-5k minimum investment positioning for broader waitlist. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Design the investor journey from page arrival to qualification submission, confirmation, CRM routing, and follow-up nurture.

Preliminary solution:
create a gated landing page with hero value proposition, eligibility explanation, trust/compliance section, qualification form, FAQ, CTA, analytics events, and post-submit routing.

Deliverable:
Landing page wireframe/copy spec, event tracking requirements, CRM mapping, and acceptance checklist.

Dependencies / inputs:
current waitlist page, investor persona definitions, CRM segments, approved compliance language, analytics baseline, email engagement data

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: waitlist conversion rate, qualified signup rate, CTR, bounce rate, segment-level engagement, compliance review outcome, objection rate.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10201,TGTM-57,Test AED 2k-5k minimum investment positioning for broader waitlist
Task,TGTM-457,16417,Prepare CRM and email segments for messaging experiment,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Parent Story context: TGTM-57 - Test AED 2k-5k minimum investment positioning for broader waitlist. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-57 Story: Test AED 2k-5k minimum investment positioning for broader waitlist > TGTM-457 Task: Prepare CRM and email segments for messaging experiment.

Original intent:
Set up the necessary waitlist or CRM segments so the broader minimum-investment messaging can be sent and tracked separately from existing investor messaging.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Test AED 2k-5k minimum investment positioning for broader waitlist. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Draft copy around the parent initiative’s investor objective, then produce variants by segment, language, funnel stage, and risk sensitivity.

Preliminary solution:
write copy in modular blocks: headline, trust proof, education angle, eligibility caveat, CTA, FAQ/objection response, and compliance disclaimer. Keep variants short enough for landing page, email, and CRM reuse.

Deliverable:
Copy bank with approved variants, recommended placement, and target segment for each message.

Dependencies / inputs:
current waitlist page, investor persona definitions, CRM segments, approved compliance language, analytics baseline, email engagement data

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: waitlist conversion rate, qualified signup rate, CTR, bounce rate, segment-level engagement, compliance review outcome, objection rate.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10201,TGTM-57,Test AED 2k-5k minimum investment positioning for broader waitlist
Task,TGTM-456,16415,Prepare private launch support and escalation process,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-56 - Create private/HNWI launch cohort plan. Parent Story context: TGTM-56 - Create private/HNWI launch cohort plan. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-56 Story: Create private/HNWI launch cohort plan > TGTM-456 Task: Prepare private launch support and escalation process.

Original intent:
Document how investor questions, access issues, and follow-up requests will be handled during the private cohort launch.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Create private/HNWI launch cohort plan. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Define the private cohort structure, invite logic, onboarding sequence, engagement cadence, and escalation path so priority investors receive a controlled white-glove experience.

Preliminary solution:
create a cohort operating plan with investor tiers, invite waves, onboarding steps, scheduled touchpoints, owner assignments, feedback capture, and escalation rules.

Deliverable:
Private cohort plan, invite list rules, onboarding workflow, and operating cadence.

Dependencies / inputs:
CRM investor list, founder network, HNWI qualification criteria, launch assets, webinar/meeting availability, compliance guidance, support escalation owner

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: invite acceptance, activation rate, onboarding completion, meeting bookings, feedback quality, investment intent, referral potential.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10200,TGTM-56,Create private/HNWI launch cohort plan
Task,TGTM-455,16413,Define success metrics and feedback capture for the private launch,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-56 - Create private/HNWI launch cohort plan. Parent Story context: TGTM-56 - Create private/HNWI launch cohort plan. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-56 Story: Create private/HNWI launch cohort plan > TGTM-455 Task: Define success metrics and feedback capture for the private launch.

Original intent:
Establish the KPIs, conversion checkpoints, and qualitative feedback methods to evaluate whether the private cohort is ready for broader retail scale.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Create private/HNWI launch cohort plan. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Define the measurement framework before launch, including funnel events, source attribution, conversion definitions, segment cuts, reporting cadence, and decision thresholds.

Preliminary solution:
use a lightweight GTM dashboard covering impressions/visits, clicks, signups, qualification rate, email engagement, webinar engagement, booked calls, and investor progression by segment.

Deliverable:
KPI dictionary, event list, dashboard requirements, and pass/fail thresholds for the initiative.

Dependencies / inputs:
CRM investor list, founder network, HNWI qualification criteria, launch assets, webinar/meeting availability, compliance guidance, support escalation owner

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: invite acceptance, activation rate, onboarding completion, meeting bookings, feedback quality, investment intent, referral potential.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10200,TGTM-56,Create private/HNWI launch cohort plan
Task,TGTM-454,16407,Design the private cohort onboarding flow,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-56 - Create private/HNWI launch cohort plan. Parent Story context: TGTM-56 - Create private/HNWI launch cohort plan. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-56 Story: Create private/HNWI launch cohort plan > TGTM-454 Task: Design the private cohort onboarding flow.

Original intent:
Define the steps from invitation acceptance through confirmation, access granting, and initial investor onboarding for the private launch group.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Create private/HNWI launch cohort plan. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Define the private cohort structure, invite logic, onboarding sequence, engagement cadence, and escalation path so priority investors receive a controlled white-glove experience.

Preliminary solution:
create a cohort operating plan with investor tiers, invite waves, onboarding steps, scheduled touchpoints, owner assignments, feedback capture, and escalation rules.

Deliverable:
Private cohort plan, invite list rules, onboarding workflow, and operating cadence.

Dependencies / inputs:
CRM investor list, founder network, HNWI qualification criteria, launch assets, webinar/meeting availability, compliance guidance, support escalation owner

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: invite acceptance, activation rate, onboarding completion, meeting bookings, feedback quality, investment intent, referral potential.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10200,TGTM-56,Create private/HNWI launch cohort plan
Task,TGTM-453,16406,Develop private launch messaging and invitation assets,Investor Acquisition,Medium,To Do,,01/Jul/26 8:29 AM,01/Jul/26 4:37 PM,,"Hierarchy / linkage:
Parent: TGTM-56 - Create private/HNWI launch cohort plan. Parent Story context: TGTM-56 - Create private/HNWI launch cohort plan. Grandparent Epic context: TGTM-4 - Build investor demand and private access engine. Hierarchy path: TGTM-4 Epic: Build investor demand and private access engine > TGTM-56 Story: Create private/HNWI launch cohort plan > TGTM-453 Task: Develop private launch messaging and invitation assets.

Original intent:
Create the email, landing-page, and direct outreach copy needed to invite selected investors into the private cohort.

What this item is meant to achieve:
Complete this Task as a concrete execution unit that contributes to the parent Story: Create private/HNWI launch cohort plan. It should not be treated as an isolated to-do; its output must plug into the parent workstream and the broader investor acquisition engine.

How we are doing this:
Draft copy around the parent initiative’s investor objective, then produce variants by segment, language, funnel stage, and risk sensitivity.

Preliminary solution:
write copy in modular blocks: headline, trust proof, education angle, eligibility caveat, CTA, FAQ/objection response, and compliance disclaimer. Keep variants short enough for landing page, email, and CRM reuse.

Deliverable:
Copy bank with approved variants, recommended placement, and target segment for each message.

Dependencies / inputs:
CRM investor list, founder network, HNWI qualification criteria, launch assets, webinar/meeting availability, compliance guidance, support escalation owner

Implementation notes:
- Keep the work grounded in the parent-child context above; do not create a detached asset that cannot be used by the parent Story.
- Ensure investor language remains trust-first, transparent, and careful around eligibility, access, minimum investment, private launch status, and any forward-looking product assumptions.
- Where CRM or analytics is involved, define the exact fields, tags, events, owner handoffs, and reporting view needed before launch.
- Where Arabic/English investor communication is involved, adapt the message for investor trust and cultural context instead of using direct word-for-word translation.
- Capture assumptions, open questions, and approval requirements directly in the Jira item before marking it ready for execution or done.

Acceptance criteria:
- The output clearly supports the parent Story and, where applicable, the grandparent Epic.
- The required artifact is complete, reviewable, and usable by marketing, sales/founder outreach, CRM operations, or compliance without needing to reinterpret the task.
- Required dependencies, data inputs, owner handoffs, and approval checkpoints are documented.
- Compliance-sensitive investor language is reviewed or prepared for review before publishing or automation.
- Success metrics are defined or the item explicitly contributes to a measurable funnel outcome: invite acceptance, activation rate, onboarding completion, meeting bookings, feedback quality, investment intent, referral potential.
- The final deliverable is attached, linked, or summarized in Jira with enough detail for the next owner to execute the following step.",10200,TGTM-56,Create private/HNWI launch cohort plan
