Issue Type,Issue key,Issue id,Summary,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Task,TGTM-1491,18485,Create a jurisdiction claim reference sheet for sales and marketing teams,Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:06 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1491 (Task) - Create a jurisdiction claim reference sheet for sales and marketing teams
- Uploaded parent: TGTM-190 - Build GCC jurisdiction claim guardrails (Yes)
- Parent Story context: TGTM-190 - Build GCC jurisdiction claim guardrails
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-190 (Story): Build GCC jurisdiction claim guardrails > TGTM-1491 (Task): Create a jurisdiction claim reference sheet for sales and marketing teams

Original intent:
Produce a concise reference that teams can use to quickly verify which claims, terms, and positioning are acceptable in each GCC market.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-190 - Build GCC jurisdiction claim guardrails. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Create a compact matrix for sales, marketing, PR, and partner teams showing allowed claims, restricted claims, mandatory disclaimers, approval owner, and escalation path for each GCC market.

Expected deliverable:
A usable matrix or reference guide that teams can apply directly during campaign, sales, and partner execution.

Implementation notes:
Keep the output practical and execution-ready. Separate facts, assumptions, recommendation, owner, next step, and evidence required for approval.

Dependencies / inputs:
Legal/regulatory review, compliance requirements, market-entry readiness status, product capability boundaries, investor-risk disclosures, and partner distribution rules. Also requires: legal/compliance review and approved regulatory source notes.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.",10334,TGTM-190,Build GCC jurisdiction claim guardrails
Task,TGTM-1490,18482,Recommend Bahrain entry positioning and next steps,Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:07 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1490 (Task) - Recommend Bahrain entry positioning and next steps
- Uploaded parent: TGTM-187 - Create Bahrain entry memo (Yes)
- Parent Story context: TGTM-187 - Create Bahrain entry memo
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-187 (Story): Create Bahrain entry memo > TGTM-1490 (Task): Recommend Bahrain entry positioning and next steps

Original intent:
Translate the assessment into a concise recommendation on whether to prioritize Bahrain, what entry model to use, and the immediate follow-up actions needed.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-187 - Create Bahrain entry memo. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Translate findings into a practical action plan with decision recommendation, owners, 30/60/90-day next steps, required approvals, and unresolved questions.

Expected deliverable:
A practical work product that can be reviewed, approved, and used by the GTM, legal/compliance, product, and partnership teams.

Implementation notes:
Use a decision-memo format: executive summary, recommendation, evidence, market context, constraints, partner route, risks, assumptions, unresolved questions, and 30/60/90-day next actions.

Dependencies / inputs:
Bahrain fintech ecosystem data, regulator requirements, CBB/licensing considerations, partner options, local competitors, and investor/developer use-case demand.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.",10331,TGTM-187,Create Bahrain entry memo
Task,TGTM-1489,18481,Align regional messaging to readiness and market-entry status,Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:06 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1489 (Task) - Align regional messaging to readiness and market-entry status
- Uploaded parent: TGTM-190 - Build GCC jurisdiction claim guardrails (Yes)
- Parent Story context: TGTM-190 - Build GCC jurisdiction claim guardrails
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-190 (Story): Build GCC jurisdiction claim guardrails > TGTM-1489 (Task): Align regional messaging to readiness and market-entry status

Original intent:
Create guidance for how marketing claims should differ between ready-to-enter markets and markets requiring partner-led or phased entry.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-190 - Build GCC jurisdiction claim guardrails. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Define a messaging-tier model that separates launch-ready markets, partner-led markets, monitoring markets, and deferred markets, then map approved copy examples to each tier.

Expected deliverable:
A ready-to-use messaging pack with approved copy, scripts, templates, and review notes.

Implementation notes:
Write outputs in a form that non-legal GTM teams can use without interpretation: approved examples, blocked examples, required qualifier language, and review/approval owner.

Dependencies / inputs:
Legal/regulatory review, compliance requirements, market-entry readiness status, product capability boundaries, investor-risk disclosures, and partner distribution rules.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.",10334,TGTM-190,Build GCC jurisdiction claim guardrails
Task,TGTM-1488,18479,Outline go-to-market risks and entry constraints,Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:07 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1488 (Task) - Outline go-to-market risks and entry constraints
- Uploaded parent: TGTM-187 - Create Bahrain entry memo (Yes)
- Parent Story context: TGTM-187 - Create Bahrain entry memo
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-187 (Story): Create Bahrain entry memo > TGTM-1488 (Task): Outline go-to-market risks and entry constraints

Original intent:
Capture the main risks, barriers, and constraints for Bahrain entry, including market scale limitations, regulatory dependencies, and partner reliance.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-187 - Create Bahrain entry memo. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Build a risk and dependency register covering regulatory uncertainty, partner dependency, licensing timeline, market demand, compliance readiness, operational cost, and reputational exposure.

Expected deliverable:
A practical work product that can be reviewed, approved, and used by the GTM, legal/compliance, product, and partnership teams.

Implementation notes:
Keep the output practical and execution-ready. Separate facts, assumptions, recommendation, owner, next step, and evidence required for approval.

Dependencies / inputs:
Bahrain fintech ecosystem data, regulator requirements, CBB/licensing considerations, partner options, local competitors, and investor/developer use-case demand.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.",10331,TGTM-187,Create Bahrain entry memo
Task,TGTM-1487,18477,Identify partner-led entry use cases for each market,Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:04 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1487 (Task) - Identify partner-led entry use cases for each market
- Uploaded parent: TGTM-191 - Build regional partner pipeline (Yes)
- Parent Story context: TGTM-191 - Build regional partner pipeline
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-191 (Story): Build regional partner pipeline > TGTM-1487 (Task): Identify partner-led entry use cases for each market

Original intent:
Capture the most plausible partner-led entry paths in ADGM, Saudi, Qatar, and Bahrain, such as referral partners, channel partners, implementation partners, or local sponsors.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-191 - Build regional partner pipeline. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Document the entry archetypes available in each market, such as referral partner, licensed distribution partner, implementation partner, local sponsor, ecosystem partner, or strategic alliance.

Expected deliverable:
A practical work product that can be reviewed, approved, and used by the GTM, legal/compliance, product, and partnership teams.

Implementation notes:
Keep the output practical and execution-ready. Separate facts, assumptions, recommendation, owner, next step, and evidence required for approval.

Dependencies / inputs:
Target market list, ICP definitions, regulatory constraints, ecosystem stakeholder lists, partnership categories, existing founder network, and compliance guardrails. Also requires: partner target list, ecosystem map, contact ownership, and partner qualification criteria.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.
- Partner or stakeholder outputs include owner, priority, rationale, status, and next engagement step.",10335,TGTM-191,Build regional partner pipeline
Task,TGTM-1486,18472,Document partner diligence requirements and decision checkpoints,Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:04 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1486 (Task) - Document partner diligence requirements and decision checkpoints
- Uploaded parent: TGTM-191 - Build regional partner pipeline (Yes)
- Parent Story context: TGTM-191 - Build regional partner pipeline
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-191 (Story): Build regional partner pipeline > TGTM-1486 (Task): Document partner diligence requirements and decision checkpoints

Original intent:
Outline the information needed to validate each partner candidate, including commercial terms, local presence, regulatory status, and any required internal approval steps.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-191 - Build regional partner pipeline. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Define due-diligence checkpoints covering license status, reputation, ownership, conflicts, compliance posture, distribution permissions, technical readiness, and commercial terms.

Expected deliverable:
A requirements specification with functional rules, configuration logic, dependencies, and acceptance criteria.

Implementation notes:
Frame requirements as configurable platform rules. Specify user-facing behavior, admin behavior, data fields, workflow triggers, audit events, and edge cases.

Dependencies / inputs:
Target market list, ICP definitions, regulatory constraints, ecosystem stakeholder lists, partnership categories, existing founder network, and compliance guardrails. Also requires: partner target list, ecosystem map, contact ownership, and partner qualification criteria; product/platform architecture assumptions, white-label roadmap, jurisdiction rules, and operations requirements.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.
- Partner or stakeholder outputs include owner, priority, rationale, status, and next engagement step.
- Product requirements include functional behavior, configuration rules, edge cases, and acceptance test conditions.",10335,TGTM-191,Build regional partner pipeline
Task,TGTM-1485,18469,"Summarize risks, assumptions, and next actions for Oman",Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:06 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1485 (Task) - Summarize risks, assumptions, and next actions for Oman
- Uploaded parent: TGTM-188 - Create Oman monitoring memo (Yes)
- Parent Story context: TGTM-188 - Create Oman monitoring memo
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-188 (Story): Create Oman monitoring memo > TGTM-1485 (Task): Summarize risks, assumptions, and next actions for Oman

Original intent:
Record key uncertainties in the emerging framework, assumptions used for planning, and the immediate follow-up actions required before pilot execution.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-188 - Create Oman monitoring memo. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Build a risk and dependency register covering regulatory uncertainty, partner dependency, licensing timeline, market demand, compliance readiness, operational cost, and reputational exposure.

Expected deliverable:
A practical work product that can be reviewed, approved, and used by the GTM, legal/compliance, product, and partnership teams.

Implementation notes:
Keep the output practical and execution-ready. Separate facts, assumptions, recommendation, owner, next step, and evidence required for approval.

Dependencies / inputs:
Oman regulatory updates, fintech ecosystem contacts, pilot use cases, compliance obligations, local stakeholder feedback, and regional prioritization criteria.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.",10332,TGTM-188,Create Oman monitoring memo
Task,TGTM-1484,18470,Define target customer segments and priority use cases,Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:07 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1484 (Task) - Define target customer segments and priority use cases
- Uploaded parent: TGTM-187 - Create Bahrain entry memo (Yes)
- Parent Story context: TGTM-187 - Create Bahrain entry memo
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-187 (Story): Create Bahrain entry memo > TGTM-1484 (Task): Define target customer segments and priority use cases

Original intent:
Specify which customer segments in Bahrain are most relevant for entry, and highlight the highest-value use cases or products to lead with.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-187 - Create Bahrain entry memo. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Break the work into a concise research-and-execution brief for Create Bahrain entry memo, covering facts gathered, analysis, recommendation, deliverable format, dependencies, and approval path.

Expected deliverable:
A practical work product that can be reviewed, approved, and used by the GTM, legal/compliance, product, and partnership teams.

Implementation notes:
Keep the output practical and execution-ready. Separate facts, assumptions, recommendation, owner, next step, and evidence required for approval.

Dependencies / inputs:
Bahrain fintech ecosystem data, regulator requirements, CBB/licensing considerations, partner options, local competitors, and investor/developer use-case demand.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.",10331,TGTM-187,Create Bahrain entry memo
Task,TGTM-1483,18471,Establish market-specific approval workflow for campaign launch,Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:06 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1483 (Task) - Establish market-specific approval workflow for campaign launch
- Uploaded parent: TGTM-190 - Build GCC jurisdiction claim guardrails (Yes)
- Parent Story context: TGTM-190 - Build GCC jurisdiction claim guardrails
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-190 (Story): Build GCC jurisdiction claim guardrails > TGTM-1483 (Task): Establish market-specific approval workflow for campaign launch

Original intent:
Define the steps, owners, and sign-off checkpoints required to approve regional marketing campaigns before launch in each jurisdiction.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-190 - Build GCC jurisdiction claim guardrails. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Design a lightweight campaign launch approval workflow with intake form, market classification, legal/compliance review, partner review where relevant, final approver, and evidence archive.

Expected deliverable:
A practical work product that can be reviewed, approved, and used by the GTM, legal/compliance, product, and partnership teams.

Implementation notes:
Write outputs in a form that non-legal GTM teams can use without interpretation: approved examples, blocked examples, required qualifier language, and review/approval owner.

Dependencies / inputs:
Legal/regulatory review, compliance requirements, market-entry readiness status, product capability boundaries, investor-risk disclosures, and partner distribution rules.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.",10334,TGTM-190,Build GCC jurisdiction claim guardrails
Task,TGTM-1482,18467,Compile key risks and readiness gaps for Qatar/QFC entry,Regional Expansion,Medium,To Do,,01/Jul/26 9:50 AM,01/Jul/26 3:07 PM,,"Expanded execution description

Hierarchy / linkage:
- Issue: TGTM-1482 (Task) - Compile key risks and readiness gaps for Qatar/QFC entry
- Uploaded parent: TGTM-186 - Create Qatar/QFC entry memo (Yes)
- Parent Story context: TGTM-186 - Create Qatar/QFC entry memo
- Grandparent / visible Epic context: TGTM-19 - Create GCC-ready regional expansion playbooks
- Hierarchy path: TGTM-19 (Epic): Create GCC-ready regional expansion playbooks > TGTM-186 (Story): Create Qatar/QFC entry memo > TGTM-1482 (Task): Compile key risks and readiness gaps for Qatar/QFC entry

Original intent:
Consolidate the main legal, regulatory, operational, and commercial risks, and highlight the gaps that must be closed before launch or partner onboarding.

How we are doing this:
Execute this Task as a component of the parent Story: TGTM-186 - Create Qatar/QFC entry memo. Use the parent Story objective as the decision frame, produce a concrete artifact, and make the output easy to roll up into the Story deliverable.

Preliminary solution:
Build a risk and dependency register covering regulatory uncertainty, partner dependency, licensing timeline, market demand, compliance readiness, operational cost, and reputational exposure.

Expected deliverable:
A practical work product that can be reviewed, approved, and used by the GTM, legal/compliance, product, and partnership teams.

Implementation notes:
Keep the output practical and execution-ready. Separate facts, assumptions, recommendation, owner, next step, and evidence required for approval.

Dependencies / inputs:
QFC and Qatar regulatory guidance, digital-asset perimeter analysis, AML/KYC standards, custody requirements, local partner options, and distribution constraints.

Acceptance criteria:
- Output directly addresses the task summary and parent Story objective.
- Findings are organized into clear facts, assumptions, recommendation, and next actions.
- Dependencies, required inputs, and approval needs are documented.
- Deliverable is specific enough for the next GTM, product, legal/compliance, or partnership action.
- Parent Story can consume the output without needing major rework.",10330,TGTM-186,Create Qatar/QFC entry memo
