Issue Type,Issue key,Issue id,Summary,Components,Components,Components,Priority,Status,Resolution,Created,Updated,Due date,Description
Task,TGTM-1347,18195,Define channel and scenario taxonomy,Analytics & Reporting,Operations,,Medium,To Do,,01/Jul/26 9:43 AM,01/Jul/26 3:14 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-158 - Track share of voice vs competitors
Issue: TGTM-1347 - Define channel and scenario taxonomy

Original intent:
Set the standard channel list, scenario labels, and mapping rules so all spend is categorized consistently in the dashboard.

How we are doing this:
Create controlled taxonomy values before data collection starts. Define the allowed categories, naming rules, examples, edge cases, ownership, and change-control process so reporting does not fragment across teams or tools.

Preliminary solution:
Use a lightweight analytics architecture for Share of voice and competitive visibility tracking: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be a controlled taxonomy sheet with approved values, definitions, examples, owner, and version history before the values are pushed into the dashboard model.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: media monitoring, search visibility, backlink data, social mentions, paid-channel taxonomy where applicable, competitor keyword sets, and manually validated competitor coverage. Related metrics: Blocks share of voice versus PRYPCO, Stake, SmartCrowd, Deed, and comparable real-estate investment platforms across PR, search, social, content, and paid/earned channels.

Acceptance criteria:
- Output is aligned to the Share of voice and competitive visibility tracking workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
Task,TGTM-1306,18115,Document a reusable weekly review template format,Analytics & Reporting,,,Medium,To Do,,01/Jul/26 9:42 AM,01/Jul/26 3:17 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-166 - Create weekly KPI review template
Issue: TGTM-1306 - Document a reusable weekly review template format

Original intent:
Assemble the final standardized template layout that can be reused each week by the team for KPI and blocker reviews.

How we are doing this:
Design the review artifact as a reusable operating template with fixed sections, required inputs, clear owners, pre-read instructions, decision/action logging, and one place to track unresolved blockers from week to week.

Preliminary solution:
Use a lightweight analytics architecture for Weekly KPI review operating cadence: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be a practical, reviewable artifact that can be tested with sample data and used in the next KPI review.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: all dashboard outputs, owner notes, blocker logs, prior action items, weekly KPI snapshots, and target status flags. Related metrics: developer, investor, trust/compliance, SEO/content, PR, funnel health, blockers, decisions, and owner follow-ups.

Acceptance criteria:
- Output is aligned to the Weekly KPI review operating cadence workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
Task,TGTM-1305,18113,Define performance commentary and variance explanation prompts,Analytics & Reporting,,,Medium,To Do,,01/Jul/26 9:42 AM,01/Jul/26 3:17 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-166 - Create weekly KPI review template
Issue: TGTM-1305 - Define performance commentary and variance explanation prompts

Original intent:
Add guidance for summarizing KPI movements, explaining variances against targets, and capturing key insights for each reporting period.

How we are doing this:
Convert analytics into operating decisions by using a structured narrative: what changed, why it changed, whether it matters, what is blocked, who owns the next action, when it is due, and what leadership decision is needed.

Preliminary solution:
Use a lightweight analytics architecture for Weekly KPI review operating cadence: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be a practical, reviewable artifact that can be tested with sample data and used in the next KPI review.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: all dashboard outputs, owner notes, blocker logs, prior action items, weekly KPI snapshots, and target status flags. Related metrics: developer, investor, trust/compliance, SEO/content, PR, funnel health, blockers, decisions, and owner follow-ups.

Acceptance criteria:
- Output is aligned to the Weekly KPI review operating cadence workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
Task,TGTM-1304,18111,Create pre-read data input and preparation guidelines,Analytics & Reporting,,,Medium,To Do,,01/Jul/26 9:42 AM,01/Jul/26 3:17 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-166 - Create weekly KPI review template
Issue: TGTM-1304 - Create pre-read data input and preparation guidelines

Original intent:
Specify what data, dashboards, and notes should be gathered before the weekly review to ensure the template is completed consistently.

How we are doing this:
Design the review artifact as a reusable operating template with fixed sections, required inputs, clear owners, pre-read instructions, decision/action logging, and one place to track unresolved blockers from week to week.

Preliminary solution:
Use a lightweight analytics architecture for Weekly KPI review operating cadence: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be a practical, reviewable artifact that can be tested with sample data and used in the next KPI review.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: all dashboard outputs, owner notes, blocker logs, prior action items, weekly KPI snapshots, and target status flags. Related metrics: developer, investor, trust/compliance, SEO/content, PR, funnel health, blockers, decisions, and owner follow-ups.

Acceptance criteria:
- Output is aligned to the Weekly KPI review operating cadence workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
Task,TGTM-1303,18104,Establish the weekly reporting cadence and distribution process,Analytics & Reporting,,,Medium,To Do,,01/Jul/26 9:42 AM,01/Jul/26 3:17 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-166 - Create weekly KPI review template
Issue: TGTM-1303 - Establish the weekly reporting cadence and distribution process

Original intent:
Document when the review is prepared, who receives the template, and how updates are circulated before and after the meeting.

How we are doing this:
Define the operating rhythm: refresh frequency, cutoff time, preparer, reviewer, recipients, meeting/review moment, escalation path, change log, and archival location. The workflow should make reporting repeatable without founder-dependent manual follow-up.

Preliminary solution:
Use a lightweight analytics architecture for Weekly KPI review operating cadence: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be an operating SOP that defines weekly/monthly refresh steps, review owners, approvals, and escalation rules.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: all dashboard outputs, owner notes, blocker logs, prior action items, weekly KPI snapshots, and target status flags. Related metrics: developer, investor, trust/compliance, SEO/content, PR, funnel health, blockers, decisions, and owner follow-ups.

Acceptance criteria:
- Output is aligned to the Weekly KPI review operating cadence workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
Task,TGTM-1302,18105,Define the standard weekly KPI review agenda and section structure,Analytics & Reporting,,,Medium,To Do,,01/Jul/26 9:42 AM,01/Jul/26 3:17 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-166 - Create weekly KPI review template
Issue: TGTM-1302 - Define the standard weekly KPI review agenda and section structure

Original intent:
Create a reusable agenda for weekly KPI reviews, including KPI performance, blockers, trends, actions, and decisions.

How we are doing this:
Design the review artifact as a reusable operating template with fixed sections, required inputs, clear owners, pre-read instructions, decision/action logging, and one place to track unresolved blockers from week to week.

Preliminary solution:
Use a lightweight analytics architecture for Weekly KPI review operating cadence: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be a KPI dictionary with formulas, source fields, target ranges, thresholds, and owner sign-off.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: all dashboard outputs, owner notes, blocker logs, prior action items, weekly KPI snapshots, and target status flags. Related metrics: developer, investor, trust/compliance, SEO/content, PR, funnel health, blockers, decisions, and owner follow-ups.

Acceptance criteria:
- Output is aligned to the Weekly KPI review operating cadence workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
Task,TGTM-1301,18103,Specify the KPI categories and metrics to include in the template,Analytics & Reporting,,,Medium,To Do,,01/Jul/26 9:42 AM,01/Jul/26 3:17 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-166 - Create weekly KPI review template
Issue: TGTM-1301 - Specify the KPI categories and metrics to include in the template

Original intent:
Document the KPI areas covered in the review template, aligned to developer, investor, trust/compliance, SEO/content, PR, and funnel reporting.

How we are doing this:
Design the review artifact as a reusable operating template with fixed sections, required inputs, clear owners, pre-read instructions, decision/action logging, and one place to track unresolved blockers from week to week.

Preliminary solution:
Use a lightweight analytics architecture for Weekly KPI review operating cadence: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be a KPI dictionary with formulas, source fields, target ranges, thresholds, and owner sign-off.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: all dashboard outputs, owner notes, blocker logs, prior action items, weekly KPI snapshots, and target status flags. Related metrics: developer, investor, trust/compliance, SEO/content, PR, funnel health, blockers, decisions, and owner follow-ups.

Acceptance criteria:
- Output is aligned to the Weekly KPI review operating cadence workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
Task,TGTM-1300,18101,Create the blocker and escalation section for weekly reviews,Analytics & Reporting,,,Medium,To Do,,01/Jul/26 9:42 AM,01/Jul/26 3:17 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-166 - Create weekly KPI review template
Issue: TGTM-1300 - Create the blocker and escalation section for weekly reviews

Original intent:
Standardize how blockers are captured, prioritized, assigned, and escalated during the weekly KPI review process.

How we are doing this:
Convert analytics into operating decisions by using a structured narrative: what changed, why it changed, whether it matters, what is blocked, who owns the next action, when it is due, and what leadership decision is needed.

Preliminary solution:
Use a lightweight analytics architecture for Weekly KPI review operating cadence: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be a practical, reviewable artifact that can be tested with sample data and used in the next KPI review.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: all dashboard outputs, owner notes, blocker logs, prior action items, weekly KPI snapshots, and target status flags. Related metrics: developer, investor, trust/compliance, SEO/content, PR, funnel health, blockers, decisions, and owner follow-ups.

Acceptance criteria:
- Output is aligned to the Weekly KPI review operating cadence workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
Task,TGTM-1299,18102,"Define owner, action item, and follow-up fields for the template",Analytics & Reporting,,,Medium,Done,Done,01/Jul/26 9:42 AM,01/Jul/26 3:17 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-166 - Create weekly KPI review template
Issue: TGTM-1299 - Define owner, action item, and follow-up fields for the template

Original intent:
Add a consistent format for assigning action items, responsible owners, due dates, and follow-up status from each weekly review.

How we are doing this:
Convert analytics into operating decisions by using a structured narrative: what changed, why it changed, whether it matters, what is blocked, who owns the next action, when it is due, and what leadership decision is needed.

Preliminary solution:
Use a lightweight analytics architecture for Weekly KPI review operating cadence: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be a practical, reviewable artifact that can be tested with sample data and used in the next KPI review.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: all dashboard outputs, owner notes, blocker logs, prior action items, weekly KPI snapshots, and target status flags. Related metrics: developer, investor, trust/compliance, SEO/content, PR, funnel health, blockers, decisions, and owner follow-ups.

Acceptance criteria:
- Output is aligned to the Weekly KPI review operating cadence workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
Task,TGTM-1298,18099,Document PR insights and escalation actions,Analytics & Reporting,,,Medium,To Do,,01/Jul/26 9:42 AM,01/Jul/26 3:17 PM,,"Hierarchy/context:
Epic: TGTM-16 - Build KPI dashboard and reporting cadence
Parent story: TGTM-165 - Build PR KPI dashboard
Issue: TGTM-1298 - Document PR insights and escalation actions

Original intent:
Create a process for summarizing notable changes in PR performance and flagging follow-up actions when coverage, backlinks, or inbound interest move materially.

How we are doing this:
Convert analytics into operating decisions by using a structured narrative: what changed, why it changed, whether it matters, what is blocked, who owns the next action, when it is due, and what leadership decision is needed.

Preliminary solution:
Use a lightweight analytics architecture for PR KPI dashboard: source systems/events -> staging table -> KPI calculation layer -> dashboard/reporting view -> weekly review/action log. The first version should be a practical, reviewable artifact that can be tested with sample data and used in the next KPI review.

Implementation notes:
- Keep the work tied to the parent story output rather than producing a standalone document.
- Capture the metric owner, source owner, refresh cadence, calculation logic, assumptions, and unresolved gaps directly in the artifact.
- Where this task affects dashboarding, separate raw inputs, transformed KPI logic, and presentation-layer decisions.
- Where this task affects cadence or commentary, make the output usable in the weekly KPI review without additional explanation.

Dependencies/data inputs:
Primary inputs/dependencies: media monitoring logs, backlink/rank tools, event invitation tracker, CRM, website analytics, press coverage tracker, and inbound lead source fields. Related metrics: tier-1 media mentions, backlinks, founder interviews, event invitations, share of voice, partner inquiries, developer inbound leads, mention quality, and opportunity source.

Acceptance criteria:
- Output is aligned to the PR KPI dashboard workstream and references the correct parent context.
- Metric definitions, data inputs, owners, refresh cadence, and assumptions are documented clearly enough for another team member to reproduce the output.
- Preliminary solution is reviewed against at least one realistic data sample or business scenario and gaps are logged as follow-up actions.
- The resulting artifact can feed the dashboard, reporting cadence, or funnel instrumentation without requiring a separate interpretation document."
