Issue Type,Issue key,Issue id,Summary,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Task,TGTM-249,10442,Create an executive review draft of the differentiation narrative,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-249 | Parent Story: TGTM-35 - Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
Package the final 'why Blocks' story into a review-ready draft for stakeholder alignment and approval before it is used across GTM assets.

Work objective:
Package the final 'why Blocks' story into a review-ready draft for stakeholder alignment and approval before it is used across GTM assets.

How we are doing this:
Draft the working copy for competitive differentiation narrative using the approved positioning logic. Start with a clear plain-English statement, then support it with structured rationale, proof points, example wording, and channel-ready copy blocks that can be reused by marketing, sales, fundraising, and founder communications.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Create an executive review draft of the differentiation narrative' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
review log with alignment checks, issues found, revisions made, and approval recommendation

Dependencies / inputs:
public competitor positioning, product/operating model details, fundraising narrative, developer acquisition narrative, investor acquisition narrative, and compliance-safe language rules

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-248,10440,Translate the differentiation narrative into messaging themes and talking points,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-248 | Parent Story: TGTM-35 - Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
Turn the core story into reusable messaging blocks for sales, marketing, and leadership communications, including short-form talk tracks and headline-level themes.

Work objective:
Turn the core story into reusable messaging blocks for sales, marketing, and leadership communications, including short-form talk tracks and headline-level themes.

How we are doing this:
Translate the strategic narrative for competitive differentiation narrative into reusable execution assets. Break the message into headline options, short-form copy, long-form explanation, talking points, objection responses, proof points, and CTA language so teams can deploy it consistently.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Translate the differentiation narrative into messaging themes and talking points' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
review-ready messaging artifact linked to the parent Story objective

Dependencies / inputs:
public competitor positioning, product/operating model details, fundraising narrative, developer acquisition narrative, investor acquisition narrative, and compliance-safe language rules

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-247,10438,"Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons",Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-247 | Parent Story: TGTM-35 - Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
Clarify the language and framing that should be used to distinguish Blocks Estate from categories it is not, so the differentiation story stays aligned with category positioning.

Work objective:
Clarify the language and framing that should be used to distinguish Blocks Estate from categories it is not, so the differentiation story stays aligned with category positioning.

How we are doing this:
Create a decision-grade comparison matrix for competitive differentiation narrative. Use consistent dimensions such as target audience, use case, operating model, asset/investment model, trust mechanism, compliance posture, investor journey, developer value proposition, and main proof points. Highlight the practical implication for Blocks Estate messaging in each row.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
review-ready messaging artifact linked to the parent Story objective

Dependencies / inputs:
public competitor positioning, product/operating model details, fundraising narrative, developer acquisition narrative, investor acquisition narrative, and compliance-safe language rules

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-246,10433,Develop proof points and evidence pillars for each differentiation claim,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-246 | Parent Story: TGTM-35 - Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
Identify the specific facts, product capabilities, market context, and operating model details that support the narrative so the story can be used confidently in GTM materials.

Work objective:
Identify the specific facts, product capabilities, market context, and operating model details that support the narrative so the story can be used confidently in GTM materials.

How we are doing this:
Complete the work item as part of competitive differentiation narrative by converting the strategic intent into a practical, reviewable messaging asset with clear inputs, draft output, proof points, risk controls, and acceptance criteria.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Develop proof points and evidence pillars for each differentiation claim' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
proof-point bank mapped to each claim and audience use case

Dependencies / inputs:
public competitor positioning, product/operating model details, fundraising narrative, developer acquisition narrative, investor acquisition narrative, and compliance-safe language rules

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-245,10430,Define the Blocks Estate narrative spine and core positioning themes,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-245 | Parent Story: TGTM-35 - Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
Translate the competitive analysis into the central storyline for Blocks Estate, including the primary market category, audience, problem statement, and the strategic angle that sets Blocks apart.

Work objective:
Translate the competitive analysis into the central storyline for Blocks Estate, including the primary market category, audience, problem statement, and the strategic angle that sets Blocks apart.

How we are doing this:
Define the required messaging rules for competitive differentiation narrative. Convert strategy into practical wording guidance: what the concept means, when it should be used, which audiences it applies to, which claims are allowed, which terms are prohibited, and how to keep the message premium, calm, Dubai-rooted, and trust-first.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Define the Blocks Estate narrative spine and core positioning themes' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
review-ready messaging artifact linked to the parent Story objective

Dependencies / inputs:
public competitor positioning, product/operating model details, fundraising narrative, developer acquisition narrative, investor acquisition narrative, and compliance-safe language rules

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-244,10432,Inventory competitor positioning and key claims for each named platform,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-244 | Parent Story: TGTM-35 - Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
Compile the current public positioning, value propositions, and differentiators for PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder to ground the narrative in accurate competitive context.

Work objective:
Compile the current public positioning, value propositions, and differentiators for PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder to ground the narrative in accurate competitive context.

How we are doing this:
Build a structured source inventory for competitive differentiation narrative. Capture candidate language, source links or references, observed claims, market terminology, audience assumptions, and any wording that may create compliance or expectation-management risk. Normalize the findings into a working table so the next tasks can use the same evidence base rather than relying on scattered notes.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Inventory competitor positioning and key claims for each named platform' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
source inventory / research table with findings, implications, and usable messaging inputs

Dependencies / inputs:
public competitor positioning, product/operating model details, fundraising narrative, developer acquisition narrative, investor acquisition narrative, and compliance-safe language rules; public competitor positioning and product pages

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-243,10429,Create a competitor-by-competitor differentiation matrix,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-243 | Parent Story: TGTM-35 - Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
For each competitor, map where Blocks Estate differs on product model, target user, operating model, asset access, regulatory posture, and end-to-end value proposition.

Work objective:
For each competitor, map where Blocks Estate differs on product model, target user, operating model, asset access, regulatory posture, and end-to-end value proposition.

How we are doing this:
Create a decision-grade comparison matrix for competitive differentiation narrative. Use consistent dimensions such as target audience, use case, operating model, asset/investment model, trust mechanism, compliance posture, investor journey, developer value proposition, and main proof points. Highlight the practical implication for Blocks Estate messaging in each row.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Create a competitor-by-competitor differentiation matrix' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
structured comparison/differentiation matrix with dimensions, findings, implications, and recommended messaging language

Dependencies / inputs:
public competitor positioning, product/operating model details, fundraising narrative, developer acquisition narrative, investor acquisition narrative, and compliance-safe language rules; public competitor positioning and product pages

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-242,10428,Draft the 'why Blocks' story framework,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-242 | Parent Story: TGTM-35 - Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
Write a concise narrative that explains why Blocks Estate exists, why it is different from adjacent platforms, and why it is the right choice for the target audience.

Work objective:
Write a concise narrative that explains why Blocks Estate exists, why it is different from adjacent platforms, and why it is the right choice for the target audience.

How we are doing this:
Draft the working copy for competitive differentiation narrative using the approved positioning logic. Start with a clear plain-English statement, then support it with structured rationale, proof points, example wording, and channel-ready copy blocks that can be reused by marketing, sales, fundraising, and founder communications.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Draft the 'why Blocks' story framework' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
review-ready messaging artifact linked to the parent Story objective

Dependencies / inputs:
public competitor positioning, product/operating model details, fundraising narrative, developer acquisition narrative, investor acquisition narrative, and compliance-safe language rules

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-241,10426,Review the comparison language for consistency with the finalized positioning architecture,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:18 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-241 | Parent Story: TGTM-34 - Write positioning comparison against crypto exchange, crowdfunding app, property portal, and tokenization infrastructure | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
Check the draft against the broader category positioning and messaging architecture to ensure terminology, claims, and category distinctions are aligned.

Work objective:
Check the draft against the broader category positioning and messaging architecture to ensure terminology, claims, and category distinctions are aligned.

How we are doing this:
Create a decision-grade comparison matrix for positioning comparison against adjacent categories. Use consistent dimensions such as target audience, use case, operating model, asset/investment model, trust mechanism, compliance posture, investor journey, developer value proposition, and main proof points. Highlight the practical implication for Blocks Estate messaging in each row.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Review the comparison language for consistency with the finalized positioning architecture' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
review log with alignment checks, issues found, revisions made, and approval recommendation

Dependencies / inputs:
competitor/category research, product model, operating model, investor journey, developer journey, compliance guardrails, and sales objections

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10178,TGTM-34,"Write positioning comparison against crypto exchange, crowdfunding app, property portal, and tokenization infrastructure"
Task,TGTM-240,10422,Compile the comparison dimensions and source inputs for Blocks vs. adjacent categories,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:18 AM,01/Jul/26 4:44 PM,,"Hierarchy / linkage:
Level: Task | Issue: TGTM-240 | Parent Story: TGTM-34 - Write positioning comparison against crypto exchange, crowdfunding app, property portal, and tokenization infrastructure | Grandparent Epic: TGTM-2 - Finalize category positioning and messaging architecture.

Original intent:
Identify the specific attributes to compare across crypto exchanges, crowdfunding apps, property portals, and tokenization infrastructure (for example: product function, buyer/user type, asset flow, custody, compliance posture, revenue model, and level of self-service). Gather the source materials needed to support the positioning comparison.

Work objective:
Identify the specific attributes to compare across crypto exchanges, crowdfunding apps, property portals, and tokenization infrastructure (for example: product function, buyer/user type, asset flow, custody, compliance posture, revenue model, and level of self-service). Gather the source materials needed to support the positioning comparison.

How we are doing this:
Build a structured source inventory for positioning comparison against adjacent categories. Capture candidate language, source links or references, observed claims, market terminology, audience assumptions, and any wording that may create compliance or expectation-management risk. Normalize the findings into a working table so the next tasks can use the same evidence base rather than relying on scattered notes.

Preliminary solution:
Preliminary solution: produce a focused work product for 'Compile the comparison dimensions and source inputs for Blocks vs. adjacent categories' that can be reviewed independently but also slots directly into the parent Story deliverable. Use the parent Story objective as the governing context, keep wording consistent with the Positioning & Messaging architecture, and explicitly flag any language that needs founder, legal, compliance, or brand approval.

Expected deliverable:
source inventory / research table with findings, implications, and usable messaging inputs

Dependencies / inputs:
competitor/category research, product model, operating model, investor journey, developer journey, compliance guardrails, and sales objections

Implementation notes:
Keep the output practical and operational: avoid academic positioning theory, avoid generic brand language, and write in a way that a founder, marketer, SDR, partner lead, or investor-relations owner can immediately reuse. Use premium, calm, Dubai-rooted, trust-first language. Avoid crypto-hype framing, trading-app framing, guaranteed-return language, exaggerated regulatory claims, and unsupported competitive claims.

Acceptance criteria:
- The output directly supports the parent Story and references the relevant parent objective rather than creating standalone or conflicting messaging.
- The deliverable is structured, review-ready, and usable by downstream GTM teams with minimal rewriting.
- Language is consistent with the approved category name, one-line positioning, tone-of-voice principles, and competitor/category guardrails.
- Any claims are backed by available evidence or clearly marked as requiring validation.
- The task includes final wording, rationale, usage notes, and revision/approval notes where applicable.",10178,TGTM-34,"Write positioning comparison against crypto exchange, crowdfunding app, property portal, and tokenization infrastructure"
