Issue Type,Issue key,Issue id,Summary,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Task,TGTM-976,17455,QA campaign materials for avoid list compliance,Compliance & Trust,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:03 PM,,"Hierarchy / linkage: TGTM-976 is a Task. Parent Story: TGTM-123 — Define campaign avoid list. Grandparent Epic: not visible in this extract; use the uploaded parent linkage and Compliance & Trust domain context. Task is under Story TGTM-123; that Story parent TGTM-11 is outside this extract, so the uploaded linkage is preserved.
Original intent: Check published and in-flight campaign assets across channels to ensure the forbidden language is not present and approved alternatives are used consistently.
How we are doing this: Run a channel-by-channel QA pass using a prohibited-phrase scan plus human review; check ads, landing pages, email, SDR scripts, social posts, PR drafts, webinars, and partner copy against the avoid list.
Preliminary solution: Implement this as part of the “Campaign avoid-list controls for launch campaigns” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: QA worksheet with asset ID, channel, risky phrase found, replacement used, reviewer, approval status, and evidence link.
Dependencies / inputs: Campaign asset inventory, avoid-list library, approved alternatives, owners, latest creative files.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: All in-flight and published campaign assets are checked; violations are remediated or logged as blocked; evidence is attached for each reviewed asset.",10267,TGTM-123,Define campaign avoid list
Task,TGTM-975,17453,Apply avoid list to existing campaign assets,Compliance & Trust,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:03 PM,,"Hierarchy / linkage: TGTM-975 is a Task. Parent Story: TGTM-123 — Define campaign avoid list. Grandparent Epic: not visible in this extract; use the uploaded parent linkage and Compliance & Trust domain context. Task is under Story TGTM-123; that Story parent TGTM-11 is outside this extract, so the uploaded linkage is preserved.
Original intent: Audit current campaign drafts and landing page copy to remove any prohibited claims or phrases and align them with the updated guidance.
How we are doing this: Create a remediation pass over existing drafts and live copy; replace risky terms with approved alternatives while preserving campaign intent and performance messaging.
Preliminary solution: Implement this as part of the “Campaign avoid-list controls for launch campaigns” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: Updated campaign assets, before/after change log, and unresolved exception list.
Dependencies / inputs: Current copy drafts, live URLs, ad variants, sequence copy, avoid-list rules, approved replacement language.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: Every identified asset is either updated, approved as-is, or escalated with a documented reason.",10267,TGTM-123,Define campaign avoid list
Task,TGTM-973,17446,Define prohibited campaign claims and phrases,Compliance & Trust,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:03 PM,,"Hierarchy / linkage: TGTM-973 is a Task. Parent Story: TGTM-123 — Define campaign avoid list. Grandparent Epic: not visible in this extract; use the uploaded parent linkage and Compliance & Trust domain context. Task is under Story TGTM-123; that Story parent TGTM-11 is outside this extract, so the uploaded linkage is preserved.
Original intent: Create a clear list of campaign language to avoid, including trade now, instant liquidity, guaranteed yield, risk-free, and any claim that suggests anyone globally can invest.
How we are doing this: Classify prohibited phrases by risk type: investment promise, liquidity promise, eligibility overreach, regulatory implication, security guarantee, and urgency/trading language.
Preliminary solution: Implement this as part of the “Campaign avoid-list controls for launch campaigns” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: Prohibited claims table with phrase, risk rationale, safer replacement, example use, and reviewer sign-off.
Dependencies / inputs: GTM strategy, campaign copy, legal guidance, securities/virtual asset marketing concerns, jurisdiction assumptions.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: The list covers obvious terms and pattern-based variants; each prohibited phrase has a replacement and rationale.",10267,TGTM-123,Define campaign avoid list
Task,TGTM-970,17440,Review avoid list with legal and compliance stakeholders,Compliance & Trust,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:03 PM,,"Hierarchy / linkage: TGTM-970 is a Task. Parent Story: TGTM-123 — Define campaign avoid list. Grandparent Epic: not visible in this extract; use the uploaded parent linkage and Compliance & Trust domain context. Task is under Story TGTM-123; that Story parent TGTM-11 is outside this extract, so the uploaded linkage is preserved.
Original intent: Validate the prohibited claims list and approved alternatives with legal, compliance, and risk stakeholders before publishing.
How we are doing this: Schedule a structured review with legal, compliance, risk, marketing, and founder stakeholders; resolve redlines and record decisions.
Preliminary solution: Implement this as part of the “Campaign avoid-list controls for launch campaigns” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: Signed-off avoid list, decision log, open questions list, and owner assignments.
Dependencies / inputs: Draft avoid list, campaign examples, legal comments, jurisdiction considerations, claim matrix.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: Stakeholders approve or reject each rule; unresolved items have owners and cannot be used publicly until resolved.",10267,TGTM-123,Define campaign avoid list
Task,TGTM-969,17439,Document approved campaign positioning and safer alternatives,Compliance & Trust,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:03 PM,,"Hierarchy / linkage: TGTM-969 is a Task. Parent Story: TGTM-123 — Define campaign avoid list. Grandparent Epic: not visible in this extract; use the uploaded parent linkage and Compliance & Trust domain context. Task is under Story TGTM-123; that Story parent TGTM-11 is outside this extract, so the uploaded linkage is preserved.
Original intent: Translate the avoid list into compliant replacement language and approved positioning guidance for campaign copywriters and marketers.
How we are doing this: Translate prohibited language into positive positioning that marketers can actually use, with safe benefits language, evidence-backed proof points, and approved caveats.
Preliminary solution: Implement this as part of the “Campaign avoid-list controls for launch campaigns” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: Approved positioning guide with risky phrase, compliant alternative, permitted channel, caveat, and example sentence.
Dependencies / inputs: Avoid list, messaging strategy, claims matrix, target audiences, approved proof points.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: Copywriters can replace risky claims without weakening the message or inventing new compliance-sensitive language.",10267,TGTM-123,Define campaign avoid list
Task,TGTM-968,17438,Create campaign copy review checklist,Compliance & Trust,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:03 PM,,"Hierarchy / linkage: TGTM-968 is a Task. Parent Story: TGTM-123 — Define campaign avoid list. Grandparent Epic: not visible in this extract; use the uploaded parent linkage and Compliance & Trust domain context. Task is under Story TGTM-123; that Story parent TGTM-11 is outside this extract, so the uploaded linkage is preserved.
Original intent: Turn the avoid list into a practical checklist for reviewing campaign assets across waitlist, launch, developer, investor, and institutional messaging.
How we are doing this: Build a pre-publication checklist that forces campaign owners to verify claims, disclaimers, eligibility limits, liquidity language, return language, and legal approval.
Preliminary solution: Implement this as part of the “Campaign avoid-list controls for launch campaigns” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: Reusable campaign copy review checklist for Jira, Notion, Google Docs, or the chosen review workflow tool.
Dependencies / inputs: Avoid list, claims matrix, channel map, legal workflow, campaign asset types.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: No campaign moves to launch status unless the checklist is completed and linked to the asset approval record.",10267,TGTM-123,Define campaign avoid list
Task,TGTM-967,17437,Update campaign messaging guidelines and playbook,Compliance & Trust,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:03 PM,,"Hierarchy / linkage: TGTM-967 is a Task. Parent Story: TGTM-123 — Define campaign avoid list. Grandparent Epic: not visible in this extract; use the uploaded parent linkage and Compliance & Trust domain context. Task is under Story TGTM-123; that Story parent TGTM-11 is outside this extract, so the uploaded linkage is preserved.
Original intent: Add the avoid list and approved phrasing to the campaign messaging guide used by marketing, product marketing, and partner teams.
How we are doing this: Update the messaging playbook so the avoid list becomes part of everyday campaign planning, briefing, drafting, review, and QA.
Preliminary solution: Implement this as part of the “Campaign avoid-list controls for launch campaigns” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: Revised campaign messaging guidelines and team playbook with examples and approval gates.
Dependencies / inputs: Brand positioning, campaign calendar, avoid list, safer alternatives, legal workflow.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: The playbook tells each GTM role what to avoid, what to say instead, and when to escalate.",10267,TGTM-123,Define campaign avoid list
Task,TGTM-299,16101,Set up version control and approval process for risk content,Compliance & Trust,Medium,To Do,,01/Jul/26 7:55 AM,01/Jul/26 4:59 PM,,"Hierarchy / linkage: TGTM-299 is a Task. Parent Story: TGTM-28 — Create risk language module for investor onboarding. Grandparent Epic: TGTM-1 — Build compliance-safe GTM claim guardrails. Task is under Story TGTM-28, which is under visible Epic TGTM-1.
Original intent: Define the ownership, review, approval, and update process for the risk language module so future changes are tracked and controlled.
How we are doing this: Create versioning rules for all risk content so teams know which copy version is current and can prove what language an investor saw at a given time.
Preliminary solution: Implement this as part of the “Investor onboarding risk language and acknowledgements” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: Version-control process with version ID, owner, approval date, change log, archival rules, and rollback procedure.
Dependencies / inputs: Risk module drafts, legal approvals, product release process, content management tool.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: Every risk module version is identifiable, approved, archived, and tied to onboarding usage dates.",10172,TGTM-28,Create risk language module for investor onboarding
Task,TGTM-298,16099,Review property and SPV risk scenarios,Compliance & Trust,Medium,To Do,,01/Jul/26 7:55 AM,01/Jul/26 4:59 PM,,"Hierarchy / linkage: TGTM-298 is a Task. Parent Story: TGTM-28 — Create risk language module for investor onboarding. Grandparent Epic: TGTM-1 — Build compliance-safe GTM claim guardrails. Task is under Story TGTM-28, which is under visible Epic TGTM-1.
Original intent: Capture risks specific to underlying real estate assets and SPV participation, including operational, market, valuation, counterparty, and structure-related risks.
How we are doing this: List the practical risk scenarios related to property ownership, SPVs, governance, fees, cash distributions, delays, valuation, maintenance, vacancy, and exit limitations.
Preliminary solution: Implement this as part of the “Investor onboarding risk language and acknowledgements” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: Scenario inventory mapped to investor-friendly disclosure language and acknowledgement requirements.
Dependencies / inputs: SPV structure, offering docs, property model, fee schedule, legal review, asset management assumptions.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: Core property and SPV risks are represented in onboarding language without overloading the user with legal jargon.",10172,TGTM-28,Create risk language module for investor onboarding
Task,TGTM-297,16097,Create platform limitations and no-advice disclaimer copy,Compliance & Trust,Medium,To Do,,01/Jul/26 7:55 AM,01/Jul/26 4:59 PM,,"Hierarchy / linkage: TGTM-297 is a Task. Parent Story: TGTM-28 — Create risk language module for investor onboarding. Grandparent Epic: TGTM-1 — Build compliance-safe GTM claim guardrails. Task is under Story TGTM-28, which is under visible Epic TGTM-1.
Original intent: Draft language clarifying platform scope, what the platform does not provide, and that materials are not investment, legal, tax, or financial advice.
How we are doing this: Draft disclaimers that clarify the platform is not giving personal investment, tax, legal, or financial advice and that platform functionality has defined limits.
Preliminary solution: Implement this as part of the “Investor onboarding risk language and acknowledgements” workstream. The working solution should be practical, versioned, and reviewable: create the artifact, connect it to the relevant claim/disclosure/copy-control library, assign an owner, capture evidence, and route it through legal/compliance review where required.
Primary deliverable: No-advice and platform-limitation disclaimer copy in short and full forms.
Dependencies / inputs: Product scope, onboarding flow, advisor/legal input, support policies, suitability/eligibility rules.
Implementation notes: Keep the output in the same repository or operating system as the claims matrix/copy library so GTM users do not rely on stale documents. Mark each item as approved, conditional, prohibited, or pending review where relevant, and include examples that sales, marketing, partnerships, and founders can reuse.
Acceptance criteria: Disclaimer copy is clear, visible, approved, and placed before any investor action that could be interpreted as reliance.",10172,TGTM-28,Create risk language module for investor onboarding
