Issue Type,Issue key,Issue id,Summary,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Task,TGTM-721,16945,Draft outreach messaging for partner recruitment,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:17 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-89`: Build property management partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Property management and servicing partner recruitment` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Prepare introductory messaging and a partnership pitch to engage shortlisted property management and servicing providers.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify property management and ongoing asset servicing partners that can support tenant placement, rent collection support, maintenance coordination, inspections, owner reporting, and investor-grade property performance operations.

Preliminary solution: Prepare partner outreach assets for Property management and servicing partner recruitment: founder intro email, LinkedIn note, short pitch paragraph, qualification questions, partner value proposition, and meeting agenda. The message should explain Blocks Estate, why this partner is relevant, what collaboration is being explored, and what information is needed next.

Expected deliverable: Partner outreach brief with email copy, LinkedIn copy, call agenda, qualification questions, and follow-up template.

Inputs / data required: Dubai property management firms, developer referrals, service menus, pricing, sample owner reports, tenant placement records, maintenance SLAs, inspection processes, licensing evidence, and client references.

Evaluation / decision criteria: service coverage, Dubai/UAE property operations experience, reporting quality, responsiveness, maintenance network, rent collection process, technology maturity, scalability, pricing, references, and fit with investor reporting needs.

Primary stakeholders: operations, investor servicing, developer acquisition, property underwriting, finance, customer success.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10233,TGTM-89,Build property management partner shortlist
Task,TGTM-720,16943,Map partners to rental operations and ongoing servicing use cases,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:17 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-89`: Build property management partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Property management and servicing partner recruitment` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Match each candidate to specific needs such as tenant placement, rent collection support, maintenance coordination, inspection scheduling, and ongoing asset servicing.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify property management and ongoing asset servicing partners that can support tenant placement, rent collection support, maintenance coordination, inspections, owner reporting, and investor-grade property performance operations.

Preliminary solution: Map each property management partner to concrete rental and servicing use cases: tenant placement, rent collection support, maintenance dispatch, inspections, owner reporting, vacancy management, renewal handling, and investor reporting inputs. Identify which tasks are partner-owned versus Blocks Estate-owned.

Expected deliverable: Completed Property management and servicing partner recruitment work artifact with source evidence, recommendation, dependencies, and next action.

Inputs / data required: Dubai property management firms, developer referrals, service menus, pricing, sample owner reports, tenant placement records, maintenance SLAs, inspection processes, licensing evidence, and client references.

Evaluation / decision criteria: service coverage, Dubai/UAE property operations experience, reporting quality, responsiveness, maintenance network, rent collection process, technology maturity, scalability, pricing, references, and fit with investor reporting needs.

Primary stakeholders: operations, investor servicing, developer acquisition, property underwriting, finance, customer success.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10233,TGTM-89,Build property management partner shortlist
Task,TGTM-719,16941,Document partner due diligence and reference checks,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:17 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-89`: Build property management partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Property management and servicing partner recruitment` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Define the process for verifying licenses, insurance, financial stability, service references, and track record before advancing candidates.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify property management and ongoing asset servicing partners that can support tenant placement, rent collection support, maintenance coordination, inspections, owner reporting, and investor-grade property performance operations.

Preliminary solution: Create a diligence checklist for Property management and servicing partner recruitment covering corporate status, credentials, regulatory comfort, service scope, capacity, pricing, conflicts, implementation effort, references, and launch risks. Use it as the standard discovery script for calls and partner comparisons.

Expected deliverable: Due-diligence checklist and completed evidence log for each candidate reviewed.

Inputs / data required: Dubai property management firms, developer referrals, service menus, pricing, sample owner reports, tenant placement records, maintenance SLAs, inspection processes, licensing evidence, and client references.

Evaluation / decision criteria: service coverage, Dubai/UAE property operations experience, reporting quality, responsiveness, maintenance network, rent collection process, technology maturity, scalability, pricing, references, and fit with investor reporting needs.

Primary stakeholders: operations, investor servicing, developer acquisition, property underwriting, finance, customer success.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10233,TGTM-89,Build property management partner shortlist
Task,TGTM-713,16930,Rank and prioritize partner candidates,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:17 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-89`: Build property management partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Property management and servicing partner recruitment` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Score and prioritize candidates based on fit, service breadth, geography, responsiveness, scalability, and alignment with rental operations requirements.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify property management and ongoing asset servicing partners that can support tenant placement, rent collection support, maintenance coordination, inspections, owner reporting, and investor-grade property performance operations.

Preliminary solution: Apply the scoring framework to produce a ranked shortlist for Property management and servicing partner recruitment. Separate the recommendation into preferred partner, backup partner, specialist partner, and not-now candidates, with rationale and decision trade-offs.

Expected deliverable: Ranked shortlist and recommendation memo showing preferred, backup, specialist, and rejected candidates.

Inputs / data required: Dubai property management firms, developer referrals, service menus, pricing, sample owner reports, tenant placement records, maintenance SLAs, inspection processes, licensing evidence, and client references.

Evaluation / decision criteria: service coverage, Dubai/UAE property operations experience, reporting quality, responsiveness, maintenance network, rent collection process, technology maturity, scalability, pricing, references, and fit with investor reporting needs.

Primary stakeholders: operations, investor servicing, developer acquisition, property underwriting, finance, customer success.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10233,TGTM-89,Build property management partner shortlist
Task,TGTM-712,16920,Identify outreach contacts and decision makers,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:17 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-89`: Build property management partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Property management and servicing partner recruitment` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Find business development leads, operations heads, and partnership contacts for each shortlisted provider to support outreach and qualification.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify property management and ongoing asset servicing partners that can support tenant placement, rent collection support, maintenance coordination, inspections, owner reporting, and investor-grade property performance operations.

Preliminary solution: Identify decision makers and influencers for Property management and servicing partner recruitment, prioritizing partner-level, commercial, operations, compliance, product/API, and BD contacts. Capture LinkedIn/profile URL, email if available, role relevance, warm-introduction path, and recommended outreach sequence.

Expected deliverable: Decision-maker contact map with role relevance, outreach channel, warm-intro path, and next step.

Inputs / data required: Dubai property management firms, developer referrals, service menus, pricing, sample owner reports, tenant placement records, maintenance SLAs, inspection processes, licensing evidence, and client references.

Evaluation / decision criteria: service coverage, Dubai/UAE property operations experience, reporting quality, responsiveness, maintenance network, rent collection process, technology maturity, scalability, pricing, references, and fit with investor reporting needs.

Primary stakeholders: operations, investor servicing, developer acquisition, property underwriting, finance, customer success.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10233,TGTM-89,Build property management partner shortlist
Task,TGTM-711,16923,Prepare partner diligence questions and outreach brief,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:18 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-88`: Select payment/banking partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Payment and banking partner selection` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Draft the questions and materials needed to validate capabilities, confirm commercial terms, and run an effective outreach process with shortlisted partners.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify payment, banking, account, escrow, and reconciliation partners that can support AED investor funding, developer payments, disbursement governance, refund workflows, and clean financial operations.

Preliminary solution: Prepare partner outreach assets for Payment and banking partner selection: founder intro email, LinkedIn note, short pitch paragraph, qualification questions, partner value proposition, and meeting agenda. The message should explain Blocks Estate, why this partner is relevant, what collaboration is being explored, and what information is needed next.

Expected deliverable: Partner outreach brief with email copy, LinkedIn copy, call agenda, qualification questions, and follow-up template.

Inputs / data required: bank/PSP product sheets, settlement timelines, AED rail support, onboarding requirements, fee schedules, API/reconciliation docs, escrow capabilities, compliance requirements, and references.

Evaluation / decision criteria: AED support, regulatory comfort, onboarding feasibility, settlement speed, reconciliation capability, API/export quality, escrow/segregation options, refund support, payout controls, cost, and operational reliability.

Primary stakeholders: finance, operations, compliance, product, engineering, investor onboarding, developer operations.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10232,TGTM-88,Select payment/banking partner shortlist
Task,TGTM-710,16921,Build an initial longlist of property management and servicing partners,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:17 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-89`: Build property management partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Property management and servicing partner recruitment` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Compile a broad list of candidate firms for rental operations, tenant management, maintenance coordination, and ongoing asset servicing across target markets.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify property management and ongoing asset servicing partners that can support tenant placement, rent collection support, maintenance coordination, inspections, owner reporting, and investor-grade property performance operations.

Preliminary solution: Build a broad initial partner/prospect longlist for Property management and servicing partner recruitment. Include company name, website, geography, specialization, relevant credentials, notable clients/projects, likely fit, source, and next action. The preliminary target should be 20-40 candidates unless the niche market is smaller.

Expected deliverable: Partner/prospect longlist spreadsheet or CRM view with all required qualification fields populated.

Inputs / data required: Dubai property management firms, developer referrals, service menus, pricing, sample owner reports, tenant placement records, maintenance SLAs, inspection processes, licensing evidence, and client references.

Evaluation / decision criteria: service coverage, Dubai/UAE property operations experience, reporting quality, responsiveness, maintenance network, rent collection process, technology maturity, scalability, pricing, references, and fit with investor reporting needs.

Primary stakeholders: operations, investor servicing, developer acquisition, property underwriting, finance, customer success.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10233,TGTM-89,Build property management partner shortlist
Task,TGTM-709,16918,Define property management partner selection criteria,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:17 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-89`: Build property management partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Property management and servicing partner recruitment` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Set evaluation criteria for partner shortlist, including geographic coverage, residential/commercial experience, compliance posture, reporting quality, service SLAs, technology integration, and fee structure.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify property management and ongoing asset servicing partners that can support tenant placement, rent collection support, maintenance coordination, inspections, owner reporting, and investor-grade property performance operations.

Preliminary solution: Create a weighted scoring framework for Property management and servicing partner recruitment with must-have, should-have, and differentiator criteria. Use a 1-5 score per criterion, capture evidence for each score, and mark non-negotiable disqualifiers separately so the team can avoid subjective partner selection.

Expected deliverable: Weighted partner evaluation scorecard with definitions, scoring scale, disqualifiers, and evidence fields.

Inputs / data required: Dubai property management firms, developer referrals, service menus, pricing, sample owner reports, tenant placement records, maintenance SLAs, inspection processes, licensing evidence, and client references.

Evaluation / decision criteria: service coverage, Dubai/UAE property operations experience, reporting quality, responsiveness, maintenance network, rent collection process, technology maturity, scalability, pricing, references, and fit with investor reporting needs.

Primary stakeholders: operations, investor servicing, developer acquisition, property underwriting, finance, customer success.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10233,TGTM-89,Build property management partner shortlist
Task,TGTM-708,16919,Segment partner candidates by service category,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:17 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-89`: Build property management partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Property management and servicing partner recruitment` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Group candidates into relevant buckets such as property managers, rental operators, maintenance providers, facilities servicing firms, and local leasing support partners.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify property management and ongoing asset servicing partners that can support tenant placement, rent collection support, maintenance coordination, inspections, owner reporting, and investor-grade property performance operations.

Preliminary solution: Segment candidates into actionable buckets for Property management and servicing partner recruitment, such as primary launch fit, specialist support, future-state option, low-fit/no-fit, and backup provider. This allows outreach and evaluation to be tailored rather than treating every candidate as interchangeable.

Expected deliverable: Segmented candidate list with category labels, fit notes, and recommended next action by segment.

Inputs / data required: Dubai property management firms, developer referrals, service menus, pricing, sample owner reports, tenant placement records, maintenance SLAs, inspection processes, licensing evidence, and client references.

Evaluation / decision criteria: service coverage, Dubai/UAE property operations experience, reporting quality, responsiveness, maintenance network, rent collection process, technology maturity, scalability, pricing, references, and fit with investor reporting needs.

Primary stakeholders: operations, investor servicing, developer acquisition, property underwriting, finance, customer success.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10233,TGTM-89,Build property management partner shortlist
Task,TGTM-707,16917,Create a partner qualification checklist and discovery questions,Partnerships,Medium,To Do,,01/Jul/26 8:37 AM,01/Jul/26 4:18 PM,,"Issue hierarchy/context: This Task belongs to parent Story `TGTM-89`: Build property management partner shortlist. Grandparent context: `TGTM-8`: Recruit legal, valuation, audit, KYC, custody, payments, and servicing partners. It should be executed as part of the `Property management and servicing partner recruitment` workstream and should produce a concrete artifact that supports the parent Story outcome.

Original intent: Prepare a structured checklist to assess operational capabilities, tenant onboarding process, maintenance workflows, escalation handling, service coverage, and performance reporting.

How we are doing this: Use the parent Story objective as the frame, then complete this task as a specific execution step. For this workstream, the broader objective is to identify property management and ongoing asset servicing partners that can support tenant placement, rent collection support, maintenance coordination, inspections, owner reporting, and investor-grade property performance operations.

Preliminary solution: Create a diligence checklist for Property management and servicing partner recruitment covering corporate status, credentials, regulatory comfort, service scope, capacity, pricing, conflicts, implementation effort, references, and launch risks. Use it as the standard discovery script for calls and partner comparisons.

Expected deliverable: Partner outreach brief with email copy, LinkedIn copy, call agenda, qualification questions, and follow-up template.

Inputs / data required: Dubai property management firms, developer referrals, service menus, pricing, sample owner reports, tenant placement records, maintenance SLAs, inspection processes, licensing evidence, and client references.

Evaluation / decision criteria: service coverage, Dubai/UAE property operations experience, reporting quality, responsiveness, maintenance network, rent collection process, technology maturity, scalability, pricing, references, and fit with investor reporting needs.

Primary stakeholders: operations, investor servicing, developer acquisition, property underwriting, finance, customer success.

Implementation notes:
- Capture evidence, not only opinions, for every candidate or recommendation.
- Use consistent fields so this task can roll up into the parent Story tracker.
- Flag assumptions, unavailable information, and recommended follow-up questions instead of hiding uncertainty.

Acceptance criteria:
- The output artifact is complete, structured, and stored where the GTM team can access it.
- Relevant candidates, criteria, or evidence are documented with sources or clear assumptions.
- The work product links back to the parent Story objective and supports a partner decision or next action.
- Risks, dependencies, open questions, and recommended next steps are explicitly captured.",10233,TGTM-89,Build property management partner shortlist
