Issue Type,Issue key,Issue id,Summary,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Task,TGTM-249,10442,Create an executive review draft of the differentiation narrative,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"h3. Summary
Create an executive review draft of the differentiation narrative.

h3. Hierarchy / linkage
* Parent Story: TGTM-35 — Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-249 — Create an executive review draft of the differentiation narrative
* Related sibling work: TGTM-248 Translate the differentiation narrative into messaging themes and talking points; TGTM-247 Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons; TGTM-246 Develop proof points and evidence pillars for each differentiation claim; TGTM-245 Define the Blocks Estate narrative spine and core positioning themes; TGTM-244 Inventory competitor positioning and key claims for each named platform; TGTM-243 Create a competitor-by-competitor differentiation matrix; plus 1 additional sibling task(s)

h3. Original intent
Package the final 'why Blocks' story into a review-ready draft for stakeholder alignment and approval before it is used across GTM assets.

h3. How we are doing this
Consolidate the narrative spine, competitor matrix, proof pillars, guardrails, and messaging themes into a leadership-ready document. Structure the draft as a short executive memo plus reusable copy blocks so reviewers can approve both strategy and language.

h3. Preliminary solution
The executive draft should open with the recommended category, move into the 'why Blocks' narrative, then show competitor/category contrasts, evidence pillars, usage guidance, and review questions. The preliminary recommendation is to approve the managed-marketplace narrative as the master story and use it as the control point for website, deck, sales, and investor-facing copy.

h3. Deliverable
Review-ready differentiation narrative memo with decision points, approved language candidates, and unresolved questions.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-248,10440,Translate the differentiation narrative into messaging themes and talking points,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"h3. Summary
Translate the differentiation narrative into messaging themes and talking points.

h3. Hierarchy / linkage
* Parent Story: TGTM-35 — Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-248 — Translate the differentiation narrative into messaging themes and talking points
* Related sibling work: TGTM-249 Create an executive review draft of the differentiation narrative; TGTM-247 Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons; TGTM-246 Develop proof points and evidence pillars for each differentiation claim; TGTM-245 Define the Blocks Estate narrative spine and core positioning themes; TGTM-244 Inventory competitor positioning and key claims for each named platform; TGTM-243 Create a competitor-by-competitor differentiation matrix; plus 1 additional sibling task(s)

h3. Original intent
Turn the core story into reusable messaging blocks for sales, marketing, and leadership communications, including short-form talk tracks and headline-level themes.

h3. How we are doing this
Break the narrative into modular message blocks: a 10-second explanation, 30-second talk track, website headline/subhead options, sales conversation bullets, founder narrative, and investor/developer variants.

h3. Preliminary solution
Create reusable themes around managed access, Dubai real estate focus, curated opportunities, developer capital formation, compliance-aware tokenization, and trust-first execution. Each theme should include one approved phrase, one short proof point, and one example of how to say it in sales or marketing copy.

h3. Deliverable
Messaging theme library with headlines, talking points, and approved phrasing.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-247,10438,"Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons",Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"h3. Summary
Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons.

h3. Hierarchy / linkage
* Parent Story: TGTM-35 — Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-247 — Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons
* Related sibling work: TGTM-249 Create an executive review draft of the differentiation narrative; TGTM-248 Translate the differentiation narrative into messaging themes and talking points; TGTM-246 Develop proof points and evidence pillars for each differentiation claim; TGTM-245 Define the Blocks Estate narrative spine and core positioning themes; TGTM-244 Inventory competitor positioning and key claims for each named platform; TGTM-243 Create a competitor-by-competitor differentiation matrix; plus 1 additional sibling task(s)

h3. Original intent
Clarify the language and framing that should be used to distinguish Blocks Estate from categories it is not, so the differentiation story stays aligned with category positioning.

h3. How we are doing this
Create category guardrails that explain which comparisons are allowed, which are risky, and which should be avoided. Map each wrong comparison to the correct reframing language.

h3. Preliminary solution
The preliminary guardrail is: do not describe Blocks as a crypto exchange, token trading venue, passive trading app, generic crowdfunding website, property portal, or self-serve tokenization SaaS. Reframe as a managed digital investment infrastructure platform for Dubai real estate with curated assets and structured capital-formation workflows.

h3. Deliverable
Guardrail table with prohibited labels, acceptable clarifications, and approved replacement phrases.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-246,10433,Develop proof points and evidence pillars for each differentiation claim,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"h3. Summary
Develop proof points and evidence pillars for each differentiation claim.

h3. Hierarchy / linkage
* Parent Story: TGTM-35 — Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-246 — Develop proof points and evidence pillars for each differentiation claim
* Related sibling work: TGTM-249 Create an executive review draft of the differentiation narrative; TGTM-248 Translate the differentiation narrative into messaging themes and talking points; TGTM-247 Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons; TGTM-245 Define the Blocks Estate narrative spine and core positioning themes; TGTM-244 Inventory competitor positioning and key claims for each named platform; TGTM-243 Create a competitor-by-competitor differentiation matrix; plus 1 additional sibling task(s)

h3. Original intent
Identify the specific facts, product capabilities, market context, and operating model details that support the narrative so the story can be used confidently in GTM materials.

h3. How we are doing this
For every differentiation claim, require a supporting evidence pillar such as operating model, product capability, asset workflow, audience benefit, compliance posture, market focus, or proof from internal strategy documents.

h3. Preliminary solution
Build evidence pillars around curated Dubai property supply, managed investor journey, developer capital-formation support, tokenization execution, bilingual trust-first messaging, and category discipline. Each pillar should identify what can be stated now, what needs validation, and what must remain conservative.

h3. Deliverable
Claim-to-proof matrix with evidence source, confidence level, and usage boundary.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-245,10430,Define the Blocks Estate narrative spine and core positioning themes,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"h3. Summary
Define the Blocks Estate narrative spine and core positioning themes.

h3. Hierarchy / linkage
* Parent Story: TGTM-35 — Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-245 — Define the Blocks Estate narrative spine and core positioning themes
* Related sibling work: TGTM-249 Create an executive review draft of the differentiation narrative; TGTM-248 Translate the differentiation narrative into messaging themes and talking points; TGTM-247 Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons; TGTM-246 Develop proof points and evidence pillars for each differentiation claim; TGTM-244 Inventory competitor positioning and key claims for each named platform; TGTM-243 Create a competitor-by-competitor differentiation matrix; plus 1 additional sibling task(s)

h3. Original intent
Translate the competitive analysis into the central storyline for Blocks Estate, including the primary market category, audience, problem statement, and the strategic angle that sets Blocks apart.

h3. How we are doing this
Translate competitor and category analysis into a single storyline: market problem, category confusion, audience need, Blocks' role, proof, and call to action.

h3. Preliminary solution
The preliminary narrative spine is: Dubai real estate is attractive but difficult to access and structure digitally; existing categories solve only parts of the journey; Blocks creates a managed bridge between investors, developers, tokenized asset workflows, and trust-first market communication.

h3. Deliverable
Narrative spine with core themes, proof logic, and message hierarchy.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-244,10432,Inventory competitor positioning and key claims for each named platform,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"h3. Summary
Inventory competitor positioning and key claims for each named platform.

h3. Hierarchy / linkage
* Parent Story: TGTM-35 — Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-244 — Inventory competitor positioning and key claims for each named platform
* Related sibling work: TGTM-249 Create an executive review draft of the differentiation narrative; TGTM-248 Translate the differentiation narrative into messaging themes and talking points; TGTM-247 Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons; TGTM-246 Develop proof points and evidence pillars for each differentiation claim; TGTM-245 Define the Blocks Estate narrative spine and core positioning themes; TGTM-243 Create a competitor-by-competitor differentiation matrix; plus 1 additional sibling task(s)

h3. Original intent
Compile the current public positioning, value propositions, and differentiators for PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder to ground the narrative in accurate competitive context.

h3. How we are doing this
Create a research template for each named platform covering public tagline, claimed audience, product category, primary value proposition, proof points, limitations, and source link/date.

h3. Preliminary solution
Do not rely on memory or informal competitor assumptions; the preliminary solution is to create a neutral source-backed inventory that separates observed public claims from Blocks' interpretation. This becomes the factual base for differentiation without making unsupported competitor attacks.

h3. Deliverable
Competitor positioning inventory for PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-243,10429,Create a competitor-by-competitor differentiation matrix,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"h3. Summary
Create a competitor-by-competitor differentiation matrix.

h3. Hierarchy / linkage
* Parent Story: TGTM-35 — Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-243 — Create a competitor-by-competitor differentiation matrix
* Related sibling work: TGTM-249 Create an executive review draft of the differentiation narrative; TGTM-248 Translate the differentiation narrative into messaging themes and talking points; TGTM-247 Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons; TGTM-246 Develop proof points and evidence pillars for each differentiation claim; TGTM-245 Define the Blocks Estate narrative spine and core positioning themes; TGTM-244 Inventory competitor positioning and key claims for each named platform; plus 1 additional sibling task(s)

h3. Original intent
For each competitor, map where Blocks Estate differs on product model, target user, operating model, asset access, regulatory posture, and end-to-end value proposition.

h3. How we are doing this
Use a row-per-competitor and column-per-dimension matrix to compare product model, user intent, asset access, transaction workflow, compliance posture, revenue model, and GTM message.

h3. Preliminary solution
The matrix should show that some competitors are investor apps, some are portals, some are infrastructure providers, and some support property discovery or fractional ownership; Blocks should be differentiated through managed Dubai real estate investment infrastructure and capital formation rather than one isolated feature.

h3. Deliverable
Competitor-by-competitor differentiation matrix with approved interpretation notes.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-242,10428,Draft the 'why Blocks' story framework,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:19 AM,01/Jul/26 4:44 PM,,"h3. Summary
Draft the 'why Blocks' story framework.

h3. Hierarchy / linkage
* Parent Story: TGTM-35 — Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-242 — Draft the 'why Blocks' story framework
* Related sibling work: TGTM-249 Create an executive review draft of the differentiation narrative; TGTM-248 Translate the differentiation narrative into messaging themes and talking points; TGTM-247 Define positioning guardrails against crypto exchange, trading app, and self-serve SaaS comparisons; TGTM-246 Develop proof points and evidence pillars for each differentiation claim; TGTM-245 Define the Blocks Estate narrative spine and core positioning themes; TGTM-244 Inventory competitor positioning and key claims for each named platform; plus 1 additional sibling task(s)

h3. Original intent
Write a concise narrative that explains why Blocks Estate exists, why it is different from adjacent platforms, and why it is the right choice for the target audience.

h3. How we are doing this
Draft a concise story framework with sections for why now, why Dubai real estate, why tokenization needs management, why Blocks, and why each audience should care.

h3. Preliminary solution
The preliminary 'why Blocks' story should say: Blocks exists because the market needs a trusted managed layer that makes Dubai property investment more accessible, structured, and understandable for investors while giving developers a digital capital-formation channel that is not framed as speculative crypto trading.

h3. Deliverable
Draft 'why Blocks' framework ready for proof-point and executive-review layering.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10179,TGTM-35,"Create differentiation narrative vs PRYPCO Mint, Stake, SmartCrowd, Deed, Blocksquare, Bayut, and Property Finder"
Task,TGTM-241,10426,Review the comparison language for consistency with the finalized positioning architecture,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:18 AM,01/Jul/26 4:44 PM,,"h3. Summary
Review the comparison language for consistency with the finalized positioning architecture.

h3. Hierarchy / linkage
* Parent Story: TGTM-34 — Write positioning comparison against crypto exchange, crowdfunding app, property portal, and tokenization infrastructure
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-241 — Review the comparison language for consistency with the finalized positioning architecture
* Related sibling work: TGTM-240 Compile the comparison dimensions and source inputs for Blocks vs. adjacent categories; TGTM-238 Draft the Blocks vs. category comparison matrix; TGTM-237 Develop objection-handling talk tracks for common misclassification questions; TGTM-236 Write category-specific positioning statements for sales; TGTM-235 Create 'is / is not' messaging for Blocks

h3. Original intent
Check the draft against the broader category positioning and messaging architecture to ensure terminology, claims, and category distinctions are aligned.

h3. How we are doing this
Review every comparison claim against the approved category name, one-line positioning, tagline direction, and do-not-say rules. Flag wording that creates category confusion or overstates legal/product maturity.

h3. Preliminary solution
The preliminary solution is to use the positioning architecture as the control document: every comparison must reinforce managed real estate digital investment infrastructure and avoid drifting into exchange, trading, portal, or pure SaaS language.

h3. Deliverable
Comparison-language QA checklist with edits and approval notes.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10178,TGTM-34,"Write positioning comparison against crypto exchange, crowdfunding app, property portal, and tokenization infrastructure"
Task,TGTM-240,10422,Compile the comparison dimensions and source inputs for Blocks vs. adjacent categories,Positioning & Messaging,Medium,To Do,,30/Jun/26 10:18 AM,01/Jul/26 4:44 PM,,"h3. Summary
Compile the comparison dimensions and source inputs for Blocks vs. adjacent categories.

h3. Hierarchy / linkage
* Parent Story: TGTM-34 — Write positioning comparison against crypto exchange, crowdfunding app, property portal, and tokenization infrastructure
* Grandparent Epic: TGTM-2 — Finalize category positioning and messaging architecture
* Current Task: TGTM-240 — Compile the comparison dimensions and source inputs for Blocks vs. adjacent categories
* Related sibling work: TGTM-241 Review the comparison language for consistency with the finalized positioning architecture; TGTM-238 Draft the Blocks vs. category comparison matrix; TGTM-237 Develop objection-handling talk tracks for common misclassification questions; TGTM-236 Write category-specific positioning statements for sales; TGTM-235 Create 'is / is not' messaging for Blocks

h3. Original intent
Identify the specific attributes to compare across crypto exchanges, crowdfunding apps, property portals, and tokenization infrastructure (for example: product function, buyer/user type, asset flow, custody, compliance posture, revenue model, and level of self-service). Gather the source materials needed to support the positioning comparison.

h3. How we are doing this
Define the comparison dimensions before writing copy, then gather internal and public source inputs for each dimension. Keep factual inputs separate from messaging conclusions.

h3. Preliminary solution
Use dimensions such as user intent, asset type, transaction model, custody/compliance posture, self-service level, revenue model, onboarding journey, and post-investment experience. The preliminary comparison model should prove that Blocks spans more of the end-to-end investment and capital formation journey than single-category alternatives.

h3. Deliverable
Comparison-dimension workbook or table with source inputs and interpretation notes.

h3. Dependencies / inputs
* Parent Story objective and acceptance criteria.
* Approved or draft category positioning statement.
* Existing GTM strategy, business plan, website copy direction, pitch deck language, and founder-approved narrative.
* Legal/compliance guidance for claims related to investment, ownership, eligibility, tokenization, liquidity, regulation, and returns.
* Competitive/source material where the task makes competitor or category comparisons.

h3. Implementation notes
* Write outputs in reusable blocks, not long-form prose only.
* Separate approved language from draft language and prohibited language.
* Make the recommendation explicit so reviewers are not forced to infer the intended solution.
* Keep copy premium, calm, Dubai-rooted, trust-first, and easy for sales or marketing to reuse.
* Flag any unresolved assumptions, missing proof points, or language that requires compliance review.

h3. Acceptance criteria
* The task output directly supports the parent Story and does not conflict with the grandparent Epic positioning.
* A preliminary solution/recommendation is included, not only analysis.
* Approved wording, do-not-use wording, and usage context are clear where relevant.
* The deliverable is specific enough to be pasted into a GTM playbook, website brief, pitch deck, sales enablement document, or campaign brief.
* Any risky claim is either removed, softened, or marked for legal/compliance review.",10178,TGTM-34,"Write positioning comparison against crypto exchange, crowdfunding app, property portal, and tokenization infrastructure"
