Issue Type,Issue key,Issue id,Summary,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Task,TGTM-520,16543,Define approved GTM messaging on secondary market liquidity,Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-520 (Task) - Define approved GTM messaging on secondary market liquidity
- Direct parent: TGTM-66 (Story) - Document why trading fees are not launch revenue driver
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-520 (Task): Define approved GTM messaging on secondary market liquidity -> TGTM-66 (Story): Document why trading fees are not launch revenue driver -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Create clear guidance for product marketing and sales on how to describe marketplace liquidity without over-promising launch readiness, depth of trading, or fee-based revenue expectations.

Execution context:
This task supports the parent workstream: TGTM-66 - Document why trading fees are not launch revenue driver. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Use conservative language that distinguishes potential future liquidity from guaranteed liquidity and separates launch-phase value from later marketplace monetization.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce a stakeholder review pack under ""Document why trading fees are not launch revenue driver"" with draft language, decisions required, compliance risks, open questions, agreed changes, and final approved version.

Expected deliverable:
A completed artifact for ""Define approved GTM messaging on secondary market liquidity"" that can be inserted into the parent workstream output: ""Document why trading fees are not launch revenue driver"".

Implementation notes:
- Workstream goal: prevent GTM materials from over-positioning secondary-market trading fees before marketplace liquidity, trading volume, and revenue behavior are mature enough to support the claim.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Trading fee launch-revenue positioning workstream outputs
- Marketplace maturity assumptions
- Secondary-market product roadmap
- Compliance-approved liquidity language

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10210,TGTM-66,Document why trading fees are not launch revenue driver
Task,TGTM-519,16538,Draft rationale for excluding trading fees from launch revenue messaging,Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-519 (Task) - Draft rationale for excluding trading fees from launch revenue messaging
- Direct parent: TGTM-66 (Story) - Document why trading fees are not launch revenue driver
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-519 (Task): Draft rationale for excluding trading fees from launch revenue messaging -> TGTM-66 (Story): Document why trading fees are not launch revenue driver -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Document why trading fees should not be positioned as a launch revenue driver, including expected trading volume assumptions, marketplace maturity constraints, and the difference between launch-phase value and steady-state monetization.

Execution context:
This task supports the parent workstream: TGTM-66 - Document why trading fees are not launch revenue driver. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Document fee logic in a pricing table showing fee type, trigger, payer, timing, calculation basis, inclusions, exclusions, billing owner, and disclosure language.
- Use conservative language that distinguishes potential future liquidity from guaranteed liquidity and separates launch-phase value from later marketplace monetization.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce a fee-packaging worksheet for this item under ""Document why trading fees are not launch revenue driver"" with columns for fee purpose, payer, trigger, amount/tier, timing, included services, excluded services, operational owner, finance treatment, legal/compliance notes, and approved customer-facing copy.

Expected deliverable:
A completed artifact for ""Draft rationale for excluding trading fees from launch revenue messaging"" that can be inserted into the parent workstream output: ""Document why trading fees are not launch revenue driver"".

Implementation notes:
- Workstream goal: prevent GTM materials from over-positioning secondary-market trading fees before marketplace liquidity, trading volume, and revenue behavior are mature enough to support the claim.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Trading fee launch-revenue positioning workstream outputs
- Finance/revenue model assumptions
- Legal and compliance review
- Operations billing and servicing workflow
- Marketplace maturity assumptions
- Secondary-market product roadmap
- Compliance-approved liquidity language

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10210,TGTM-66,Document why trading fees are not launch revenue driver
Sub-task,TGTM-518,16539,Review launch positioning against market and adoption assumptions,Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-518 (Sub-task) - Review launch positioning against market and adoption assumptions
- Direct parent: TGTM-66 (Story) - Document why trading fees are not launch revenue driver
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-518 (Sub-task): Review launch positioning against market and adoption assumptions -> TGTM-66 (Story): Document why trading fees are not launch revenue driver -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Validate the launch narrative against likely trading activity, onboarding timelines, asset supply constraints, and liquidity formation so the marketing story stays credible and defensible.

Execution context:
This sub-task supports the parent workstream: TGTM-66 - Document why trading fees are not launch revenue driver. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Document why trading fees are not a launch revenue driver, define approved language for liquidity and secondary trading, separate launch-phase value from steady-state monetization, and prepare FAQ/objection-handling answers for sales, investors, and internal stakeholders.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce a stakeholder review pack under ""Document why trading fees are not launch revenue driver"" with draft language, decisions required, compliance risks, open questions, agreed changes, and final approved version.

Expected deliverable:
A completed artifact for ""Review launch positioning against market and adoption assumptions"" that can be inserted into the parent workstream output: ""Document why trading fees are not launch revenue driver"".

Implementation notes:
- Workstream goal: prevent GTM materials from over-positioning secondary-market trading fees before marketplace liquidity, trading volume, and revenue behavior are mature enough to support the claim.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Trading fee launch-revenue positioning workstream outputs

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10210,TGTM-66,Document why trading fees are not launch revenue driver
Task,TGTM-517,16537,Prepare supporting FAQs and objection-handling notes for GTM,Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-517 (Task) - Prepare supporting FAQs and objection-handling notes for GTM
- Direct parent: TGTM-66 (Story) - Document why trading fees are not launch revenue driver
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-517 (Task): Prepare supporting FAQs and objection-handling notes for GTM -> TGTM-66 (Story): Document why trading fees are not launch revenue driver -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Provide concise answers for common questions from prospects and internal teams about trading fees, liquidity, and when marketplace revenue may become material after launch.

Execution context:
This task supports the parent workstream: TGTM-66 - Document why trading fees are not launch revenue driver. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Define the ongoing support model, service requests, SLAs, ownership, escalation path, and boundaries between product support, investor servicing, and operations.
- Write concise Q&A responses for sales and investor/developer conversations, with approved claims, restricted claims, and escalation guidance.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce an internal FAQ and objection-handling note under ""Document why trading fees are not launch revenue driver"" with approved answers, short sales scripts, restricted claims, escalation triggers, and supporting rationale.

Expected deliverable:
A completed artifact for ""Prepare supporting FAQs and objection-handling notes for GTM"" that can be inserted into the parent workstream output: ""Document why trading fees are not launch revenue driver"".

Implementation notes:
- Workstream goal: prevent GTM materials from over-positioning secondary-market trading fees before marketplace liquidity, trading volume, and revenue behavior are mature enough to support the claim.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Trading fee launch-revenue positioning workstream outputs

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10210,TGTM-66,Document why trading fees are not launch revenue driver
Task,TGTM-516,16535,Define invoicing and subscription workflow for the recurring fee,Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-516 (Task) - Define invoicing and subscription workflow for the recurring fee
- Direct parent: TGTM-65 (Story) - Create annual servicing/admin fee packaging
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-516 (Task): Define invoicing and subscription workflow for the recurring fee -> TGTM-65 (Story): Create annual servicing/admin fee packaging -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Specify how the annual fee will be billed, renewed, and administered in the operational workflow for marketplace customers.

Execution context:
This task supports the parent workstream: TGTM-65 - Create annual servicing/admin fee packaging. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Define investor subscription flow, allocation logic, registry update responsibilities, records to maintain, and post-close confirmation outputs.
- Represent the process as a swimlane or lifecycle diagram with owners, handoffs, approvals, dependencies, and outputs at each stage.
- Document fee logic in a pricing table showing fee type, trigger, payer, timing, calculation basis, inclusions, exclusions, billing owner, and disclosure language.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce a fee-packaging worksheet for this item under ""Create annual servicing/admin fee packaging"" with columns for fee purpose, payer, trigger, amount/tier, timing, included services, excluded services, operational owner, finance treatment, legal/compliance notes, and approved customer-facing copy.

Expected deliverable:
A completed artifact for ""Define invoicing and subscription workflow for the recurring fee"" that can be inserted into the parent workstream output: ""Create annual servicing/admin fee packaging"".

Implementation notes:
- Workstream goal: package recurring servicing and administration into a clear annual fee tied to ongoing investor, reporting, registry, communication, and admin workflows.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Annual servicing/admin fee packaging workstream outputs
- Finance/revenue model assumptions
- Legal and compliance review
- Operations billing and servicing workflow
- Product operations workflow
- Investor servicing process
- Developer onboarding process

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10209,TGTM-65,Create annual servicing/admin fee packaging
Task,TGTM-515,16529,Align the fee package with finance and revenue reporting requirements,Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-515 (Task) - Align the fee package with finance and revenue reporting requirements
- Direct parent: TGTM-65 (Story) - Create annual servicing/admin fee packaging
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-515 (Task): Align the fee package with finance and revenue reporting requirements -> TGTM-65 (Story): Create annual servicing/admin fee packaging -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Confirm how the recurring fee will be booked, tracked, and reported for internal finance, investor reporting, and launch KPI reporting.

Execution context:
This task supports the parent workstream: TGTM-65 - Create annual servicing/admin fee packaging. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Specify reporting cadence, distribution workflow, data inputs, reviewer, approver, and investor/developer communication outputs.
- Document fee logic in a pricing table showing fee type, trigger, payer, timing, calculation basis, inclusions, exclusions, billing owner, and disclosure language.
- Confirm finance treatment, revenue recognition assumptions, internal KPI mapping, reporting cadence, and data owner before finalizing commercial materials.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce a fee-packaging worksheet for this item under ""Create annual servicing/admin fee packaging"" with columns for fee purpose, payer, trigger, amount/tier, timing, included services, excluded services, operational owner, finance treatment, legal/compliance notes, and approved customer-facing copy.

Expected deliverable:
A completed artifact for ""Align the fee package with finance and revenue reporting requirements"" that can be inserted into the parent workstream output: ""Create annual servicing/admin fee packaging"".

Implementation notes:
- Workstream goal: package recurring servicing and administration into a clear annual fee tied to ongoing investor, reporting, registry, communication, and admin workflows.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Annual servicing/admin fee packaging workstream outputs
- Finance/revenue model assumptions
- Legal and compliance review
- Operations billing and servicing workflow
- Product operations workflow
- Investor servicing process
- Developer onboarding process

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10209,TGTM-65,Create annual servicing/admin fee packaging
Task,TGTM-514,16530,"Map fee coverage to reporting, investor servicing, and admin activities",Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-514 (Task) - Map fee coverage to reporting, investor servicing, and admin activities
- Direct parent: TGTM-65 (Story) - Create annual servicing/admin fee packaging
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-514 (Task): Map fee coverage to reporting, investor servicing, and admin activities -> TGTM-65 (Story): Create annual servicing/admin fee packaging -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Document which operational deliverables are included in the annual fee, including reporting, investor communications, servicing, and administrative workflows.

Execution context:
This task supports the parent workstream: TGTM-65 - Create annual servicing/admin fee packaging. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Specify reporting cadence, distribution workflow, data inputs, reviewer, approver, and investor/developer communication outputs.
- Define the ongoing support model, service requests, SLAs, ownership, escalation path, and boundaries between product support, investor servicing, and operations.
- Document fee logic in a pricing table showing fee type, trigger, payer, timing, calculation basis, inclusions, exclusions, billing owner, and disclosure language.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce a fee-packaging worksheet for this item under ""Create annual servicing/admin fee packaging"" with columns for fee purpose, payer, trigger, amount/tier, timing, included services, excluded services, operational owner, finance treatment, legal/compliance notes, and approved customer-facing copy.

Expected deliverable:
A completed artifact for ""Map fee coverage to reporting, investor servicing, and admin activities"" that can be inserted into the parent workstream output: ""Create annual servicing/admin fee packaging"".

Implementation notes:
- Workstream goal: package recurring servicing and administration into a clear annual fee tied to ongoing investor, reporting, registry, communication, and admin workflows.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Annual servicing/admin fee packaging workstream outputs
- Finance/revenue model assumptions
- Legal and compliance review
- Operations billing and servicing workflow
- Product operations workflow
- Investor servicing process
- Developer onboarding process

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10209,TGTM-65,Create annual servicing/admin fee packaging
Task,TGTM-513,16527,Review the fee package with legal and compliance stakeholders,Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-513 (Task) - Review the fee package with legal and compliance stakeholders
- Direct parent: TGTM-65 (Story) - Create annual servicing/admin fee packaging
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-513 (Task): Review the fee package with legal and compliance stakeholders -> TGTM-65 (Story): Create annual servicing/admin fee packaging -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Validate that the proposed fee structure and disclosures are consistent with marketplace, investor servicing, and administrative obligations.

Execution context:
This task supports the parent workstream: TGTM-65 - Create annual servicing/admin fee packaging. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Clarify legal-entity/SPV workflow boundaries, document ownership, review checkpoints, approval dependencies, and what must not be promised in marketing copy.
- Document fee logic in a pricing table showing fee type, trigger, payer, timing, calculation basis, inclusions, exclusions, billing owner, and disclosure language.
- Route the draft through legal/compliance review and capture approved language, restricted language, open questions, and required disclaimers.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce a fee-packaging worksheet for this item under ""Create annual servicing/admin fee packaging"" with columns for fee purpose, payer, trigger, amount/tier, timing, included services, excluded services, operational owner, finance treatment, legal/compliance notes, and approved customer-facing copy.

Expected deliverable:
A completed artifact for ""Review the fee package with legal and compliance stakeholders"" that can be inserted into the parent workstream output: ""Create annual servicing/admin fee packaging"".

Implementation notes:
- Workstream goal: package recurring servicing and administration into a clear annual fee tied to ongoing investor, reporting, registry, communication, and admin workflows.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Annual servicing/admin fee packaging workstream outputs
- Finance/revenue model assumptions
- Legal and compliance review
- Operations billing and servicing workflow
- Compliance requirements
- Legal/SPV workflow inputs
- Operations approval process

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10209,TGTM-65,Create annual servicing/admin fee packaging
Task,TGTM-512,16526,Create pricing and packaging language for customer-facing materials,Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-512 (Task) - Create pricing and packaging language for customer-facing materials
- Direct parent: TGTM-65 (Story) - Create annual servicing/admin fee packaging
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-512 (Task): Create pricing and packaging language for customer-facing materials -> TGTM-65 (Story): Create annual servicing/admin fee packaging -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Draft clear product copy that explains the annual servicing/admin fee, what it covers, and how it is presented in launch and sales materials.

Execution context:
This task supports the parent workstream: TGTM-65 - Create annual servicing/admin fee packaging. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Document fee logic in a pricing table showing fee type, trigger, payer, timing, calculation basis, inclusions, exclusions, billing owner, and disclosure language.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce a fee-packaging worksheet for this item under ""Create annual servicing/admin fee packaging"" with columns for fee purpose, payer, trigger, amount/tier, timing, included services, excluded services, operational owner, finance treatment, legal/compliance notes, and approved customer-facing copy.

Expected deliverable:
A completed artifact for ""Create pricing and packaging language for customer-facing materials"" that can be inserted into the parent workstream output: ""Create annual servicing/admin fee packaging"".

Implementation notes:
- Workstream goal: package recurring servicing and administration into a clear annual fee tied to ongoing investor, reporting, registry, communication, and admin workflows.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Annual servicing/admin fee packaging workstream outputs
- Finance/revenue model assumptions
- Legal and compliance review
- Operations billing and servicing workflow

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10209,TGTM-65,Create annual servicing/admin fee packaging
Task,TGTM-511,16525,Define the annual servicing and admin fee structure,Product Marketing,Medium,To Do,,01/Jul/26 8:31 AM,01/Jul/26 4:34 PM,,"Hierarchy / linkage:
- Current issue: TGTM-511 (Task) - Define the annual servicing and admin fee structure
- Direct parent: TGTM-65 (Story) - Create annual servicing/admin fee packaging
- Grandparent / upstream context: TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing
- Hierarchy path: TGTM-511 (Task): Define the annual servicing and admin fee structure -> TGTM-65 (Story): Create annual servicing/admin fee packaging -> TGTM-5 (Epic): Launch Managed Tokenization Marketplace product marketing

Original intent:
Specify the recurring fee amount, billing cadence, and any tiering or usage-based components for the managed tokenization marketplace offering.

Execution context:
This task supports the parent workstream: TGTM-65 - Create annual servicing/admin fee packaging. It should be completed in a way that feeds directly into the Product Marketing launch pack, rather than standing alone as an isolated research or copywriting task.

How we are doing this:
- Define the ongoing support model, service requests, SLAs, ownership, escalation path, and boundaries between product support, investor servicing, and operations.
- Document fee logic in a pricing table showing fee type, trigger, payer, timing, calculation basis, inclusions, exclusions, billing owner, and disclosure language.
- Convert the output into language that can be reused in launch materials, sales conversations, internal enablement, and stakeholder review packs.

Preliminary solution:
Produce a fee-packaging worksheet for this item under ""Create annual servicing/admin fee packaging"" with columns for fee purpose, payer, trigger, amount/tier, timing, included services, excluded services, operational owner, finance treatment, legal/compliance notes, and approved customer-facing copy.

Expected deliverable:
A completed artifact for ""Define the annual servicing and admin fee structure"" that can be inserted into the parent workstream output: ""Create annual servicing/admin fee packaging"".

Implementation notes:
- Workstream goal: package recurring servicing and administration into a clear annual fee tied to ongoing investor, reporting, registry, communication, and admin workflows.
- Keep the language specific, operational, and launch-ready; avoid vague claims or investor-return promises.
- Separate internal operating assumptions from customer-facing copy so teams know what can and cannot be said externally.
- Flag decisions that require legal, compliance, finance, product, or operations approval before external publication.

Dependencies / inputs:
- Parent Story requirements and original Jira description
- Managed Marketplace product strategy and GTM launch assumptions
- Annual servicing/admin fee packaging workstream outputs
- Finance/revenue model assumptions
- Legal and compliance review
- Operations billing and servicing workflow

Acceptance criteria:
- The output directly answers the task summary and preserves the parent Story context.
- The work includes a clear recommendation or final artifact, not only raw notes.
- Internal stakeholders can understand owner, inputs, handoffs, dependencies, and next steps.
- Customer-facing or sales-facing wording is safe, specific, and aligned with approved product positioning.
- Any open assumptions, compliance questions, or finance/legal dependencies are explicitly documented.",10209,TGTM-65,Create annual servicing/admin fee packaging
