"Issue Type","Issue key","Issue id","Summary","Components","Priority","Status","Resolution","Created","Updated","Due date","Description","Parent","Parent key","Parent summary"
"Task","TGTM-1180","17862","Set up a process to maintain and update the avoid list","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1180 — Task — Set up a process to maintain and update the avoid list
- Parent: TGTM-150 — Document ad phrases to avoid (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Document how the phrase list will be revised when platform policies, regulatory guidance, or campaign learnings change.

How we are doing this:
Translate compliance and platform-policy risk into practical reviewer actions. Identify sensitive claims, required evidence, prohibited wording, disclosure needs, reviewer ownership, and escalation rules.

Preliminary solution:
create a review checklist or risk register with claim category, allowed/prohibited language, evidence requirement, platform note, reviewer, and approval decision.

Primary deliverable:
Completed task artifact linked to the parent paid media workstream.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- latest Google, LinkedIn, and Meta ad policy notes
- internal compliance and brand-risk guidance

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.","10294","TGTM-150","Document ad phrases to avoid"
"Task","TGTM-1179","17861","Document the creative library handoff for media testing","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1179 — Task — Document the creative library handoff for media testing
- Parent: TGTM-149 — Create paid media creative library (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Package the approved creative set with usage notes, audience mapping, and implementation guidance for the paid media launch team.

How we are doing this:
Develop compliant creative variants that can be tested cleanly across channels and audiences. Separate message angle, offer, proof point, CTA, format, and claim-risk level so results are interpretable.

Preliminary solution:
produce a creative matrix and asset set with approved copy variants, channel adaptations, version names, usage notes, and review status.

Primary deliverable:
Approved creative/copy library with variants, format specs, channel mapping, version names, and review status.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- approved positioning and messaging guide
- brand voice and creative format requirements

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.
- Creative output includes channel-specific versions and avoids prohibited or unsupported wording.","10293","TGTM-149","Create paid media creative library"
"Task","TGTM-1178","17857","Create a phrase review checklist for ad copywriters","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1178 — Task — Create a phrase review checklist for ad copywriters
- Parent: TGTM-150 — Document ad phrases to avoid (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Summarize how to quickly screen new ad copy against the avoid list before submission for review.

How we are doing this:
Develop compliant creative variants that can be tested cleanly across channels and audiences. Separate message angle, offer, proof point, CTA, format, and claim-risk level so results are interpretable.

Preliminary solution:
produce a creative matrix and asset set with approved copy variants, channel adaptations, version names, usage notes, and review status.

Primary deliverable:
Checklist document or table with pass/fail criteria, owner, evidence notes, and approval status.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- latest Google, LinkedIn, and Meta ad policy notes
- internal compliance and brand-risk guidance
- approved positioning and messaging guide
- brand voice and creative format requirements

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.
- Approval, exception, or blocker status is clearly recorded before launch use.
- Creative output includes channel-specific versions and avoids prohibited or unsupported wording.","10294","TGTM-150","Document ad phrases to avoid"
"Task","TGTM-1177","17856","Review the creative library for compliance and brand consistency","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1177 — Task — Review the creative library for compliance and brand consistency
- Parent: TGTM-149 — Create paid media creative library (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Perform a final QA pass to ensure all ad variants align with platform policies, legal constraints, and the approved brand voice.

How we are doing this:
Develop compliant creative variants that can be tested cleanly across channels and audiences. Separate message angle, offer, proof point, CTA, format, and claim-risk level so results are interpretable.

Preliminary solution:
produce a creative matrix and asset set with approved copy variants, channel adaptations, version names, usage notes, and review status.

Primary deliverable:
Approved creative/copy library with variants, format specs, channel mapping, version names, and review status.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- latest Google, LinkedIn, and Meta ad policy notes
- internal compliance and brand-risk guidance
- approved positioning and messaging guide
- brand voice and creative format requirements

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.
- Approval, exception, or blocker status is clearly recorded before launch use.
- Creative output includes channel-specific versions and avoids prohibited or unsupported wording.","10293","TGTM-149","Create paid media creative library"
"Task","TGTM-1176","17855","Define substantiation notes for phrases that require evidence","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1176 — Task — Define substantiation notes for phrases that require evidence
- Parent: TGTM-150 — Document ad phrases to avoid (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Record which claims need proof or source validation before use, including any required references or internal approvals.

How we are doing this:
Translate compliance and platform-policy risk into practical reviewer actions. Identify sensitive claims, required evidence, prohibited wording, disclosure needs, reviewer ownership, and escalation rules.

Preliminary solution:
create a review checklist or risk register with claim category, allowed/prohibited language, evidence requirement, platform note, reviewer, and approval decision.

Primary deliverable:
Compliance risk register, avoid list, or policy checklist with replacement guidance and evidence requirements.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- latest Google, LinkedIn, and Meta ad policy notes
- internal compliance and brand-risk guidance

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.
- Approval, exception, or blocker status is clearly recorded before launch use.","10294","TGTM-150","Document ad phrases to avoid"
"Task","TGTM-1175","17853","Set up creative naming and versioning conventions","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1175 — Task — Set up creative naming and versioning conventions
- Parent: TGTM-149 — Create paid media creative library (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Define a consistent structure for naming, organizing, and versioning all ad variants so test results can be traced to specific creative elements.

How we are doing this:
Develop compliant creative variants that can be tested cleanly across channels and audiences. Separate message angle, offer, proof point, CTA, format, and claim-risk level so results are interpretable.

Preliminary solution:
produce a creative matrix and asset set with approved copy variants, channel adaptations, version names, usage notes, and review status.

Primary deliverable:
Approved creative/copy library with variants, format specs, channel mapping, version names, and review status.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- approved positioning and messaging guide
- brand voice and creative format requirements

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.
- Creative output includes channel-specific versions and avoids prohibited or unsupported wording.","10293","TGTM-149","Create paid media creative library"
"Task","TGTM-1174","17851","Adapt creative for Google Search, LinkedIn ABM, and retargeting formats","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1174 — Task — Adapt creative for Google Search, LinkedIn ABM, and retargeting formats
- Parent: TGTM-149 — Create paid media creative library (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Resize and rewrite the core creative library to fit the requirements and character limits of each paid media channel and placement.

How we are doing this:
Define who should and should not see the ads before spend begins. Use audience source, engagement level, geography, role, account fit, exclusion logic, and frequency controls to keep targeting precise.

Preliminary solution:
document audience definitions, inclusion/exclusion rules, membership windows, channel configuration notes, and validation checks.

Primary deliverable:
Approved creative/copy library with variants, format specs, channel mapping, version names, and review status.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- seed keyword research and audience intent assumptions
- landing page or guide inventory
- approved positioning and messaging guide
- brand voice and creative format requirements
- ICP definitions, account lists, visitor audience rules, and exclusion criteria

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.
- Creative output includes channel-specific versions and avoids prohibited or unsupported wording.
- Targeting or keyword decisions include rationale, exclusions, and launch-priority recommendations.","10293","TGTM-149","Create paid media creative library"
"Task","TGTM-1173","17848","Compile a list of prohibited ad phrases and claims","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1173 — Task — Compile a list of prohibited ad phrases and claims
- Parent: TGTM-150 — Document ad phrases to avoid (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Document phrases to avoid in paid media ads, including buy/trade/guarantee language and other high-risk claims that could trigger rejection or compliance review.

How we are doing this:
Translate compliance and platform-policy risk into practical reviewer actions. Identify sensitive claims, required evidence, prohibited wording, disclosure needs, reviewer ownership, and escalation rules.

Preliminary solution:
create a review checklist or risk register with claim category, allowed/prohibited language, evidence requirement, platform note, reviewer, and approval decision.

Primary deliverable:
Compliance risk register, avoid list, or policy checklist with replacement guidance and evidence requirements.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- latest Google, LinkedIn, and Meta ad policy notes
- internal compliance and brand-risk guidance

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.
- Approval, exception, or blocker status is clearly recorded before launch use.","10294","TGTM-150","Document ad phrases to avoid"
"Task","TGTM-1172","17847","Add examples of compliant education-first ad copy","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1172 — Task — Add examples of compliant education-first ad copy
- Parent: TGTM-150 — Document ad phrases to avoid (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Include sample headlines, descriptions, and CTA language that align with guides, webinars, developer consultations, and trust content.

How we are doing this:
Develop compliant creative variants that can be tested cleanly across channels and audiences. Separate message angle, offer, proof point, CTA, format, and claim-risk level so results are interpretable.

Preliminary solution:
produce a creative matrix and asset set with approved copy variants, channel adaptations, version names, usage notes, and review status.

Primary deliverable:
Approved creative/copy library with variants, format specs, channel mapping, version names, and review status.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- latest Google, LinkedIn, and Meta ad policy notes
- internal compliance and brand-risk guidance
- approved positioning and messaging guide
- brand voice and creative format requirements

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.
- Creative output includes channel-specific versions and avoids prohibited or unsupported wording.","10294","TGTM-150","Document ad phrases to avoid"
"Task","TGTM-1171","17844","Document approved alternative wording for common risky phrases","Paid Media","Medium","To Do","","01/Jul/26 9:38 AM","01/Jul/26 3:40 PM","","Hierarchy / linkage:
- Issue: TGTM-1171 — Task — Document approved alternative wording for common risky phrases
- Parent: TGTM-150 — Document ad phrases to avoid (included in this extract).
- Grandparent / upstream context: TGTM-14 — Launch compliant education-first paid media tests (included in this extract).
- No child items are included in this extract.

Original intent:
Provide safe replacement language for frequently used banned or sensitive phrases so teams can keep the same intent without compliance risk.

How we are doing this:
Translate compliance and platform-policy risk into practical reviewer actions. Identify sensitive claims, required evidence, prohibited wording, disclosure needs, reviewer ownership, and escalation rules.

Preliminary solution:
create a review checklist or risk register with claim category, allowed/prohibited language, evidence requirement, platform note, reviewer, and approval decision.

Primary deliverable:
Compliance risk register, avoid list, or policy checklist with replacement guidance and evidence requirements.

Implementation notes:
Start from the parent Story objective, gather the required source inputs, create the working artifact, validate it against channel/platform constraints, capture decisions and assumptions, then attach or link the final artifact back to Jira for downstream execution.

Dependencies / required inputs:
- latest Google, LinkedIn, and Meta ad policy notes
- internal compliance and brand-risk guidance

Acceptance criteria:
- Output is specific enough for the paid media, content, compliance, or growth owner to execute without reinterpreting the task.
- Deliverable references the parent Story objective and supports the broader education-first paid media testing program.
- Compliance-sensitive claims, platform constraints, tracking needs, and dependencies are documented where relevant.
- Final artifact is reviewed, versioned, and ready to be attached to Jira or linked from the campaign workspace.
- Approval, exception, or blocker status is clearly recorded before launch use.","10294","TGTM-150","Document ad phrases to avoid"
