"Issue Type","Issue key","Issue id","Summary","Components","Priority","Status","Resolution","Created","Updated","Due date","Description","Parent","Parent key","Parent summary"
"Task","TGTM-917","17333","QA the Arabic version for accuracy, tone, and bilingual consistency","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-917 — QA the Arabic version for accuracy, tone, and bilingual consistency
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-116 — Localize priority content into Arabic > TGTM-917 — QA the Arabic version for accuracy, tone, and bilingual consistency

Original intent:
Perform a final review of the Arabic localized content to verify translation accuracy, tone alignment, terminology consistency, and parity with the English education hub.

How we are doing this:
Use a content-operations workflow: clarify the audience (Arabic-speaking investors, developers, and regional stakeholders), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through Arabic education hub pages, bilingual landing pages, localized social/email snippets, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Use a publication QA checklist covering copy accuracy, links, mobile rendering, metadata, CTA behavior, tracking tags, Arabic/English parity where relevant, and compliance-approved wording before marking complete.

Deliverable:
Arabic localized content, bilingual glossary updates, QA notes, and parity confirmation against the English source.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Bilingual glossary, English source copy, Arabic reviewer, and regional tone guidance.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.
- For Arabic content, use Modern Standard Arabic with regionally natural business language and maintain bilingual meaning parity.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Arabic version preserves source meaning, uses approved terminology, and passes bilingual QA.
- Published page or final asset renders correctly on desktop/mobile and all links/CTAs/tracking work.","10260","TGTM-116","Localize priority content into Arabic"
"Task","TGTM-916","17331","Review and standardize Arabic terminology for tokenization, eligibility, and investor rights","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-916 — Review and standardize Arabic terminology for tokenization, eligibility, and investor rights
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-116 — Localize priority content into Arabic > TGTM-916 — Review and standardize Arabic terminology for tokenization, eligibility, and investor rights

Original intent:
Create and apply a consistent Arabic glossary for technical and legal terms such as tokenization, fractional access, SPVs, KYC/AML, distributions, transfer restrictions, eligibility, and rights.

How we are doing this:
Use a content-operations workflow: clarify the audience (Arabic-speaking investors, developers, and regional stakeholders), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through Arabic education hub pages, bilingual landing pages, localized social/email snippets, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Create a bilingual terminology matrix for tokenization, SPV, eligibility, KYC/AML, distributions, transfer restrictions, rights, fees, and risk terms, then apply it across Arabic assets.

Deliverable:
Arabic localized content, bilingual glossary updates, QA notes, and parity confirmation against the English source.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Bilingual glossary, English source copy, Arabic reviewer, and regional tone guidance.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.
- For investor-facing content, explain what the user can understand, verify, and do next before they commit.
- For Arabic content, use Modern Standard Arabic with regionally natural business language and maintain bilingual meaning parity.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Arabic version preserves source meaning, uses approved terminology, and passes bilingual QA.","10260","TGTM-116","Localize priority content into Arabic"
"Task","TGTM-915","17332","Localize Dubai and developer partnership positioning for Arabic readers","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-915 — Localize Dubai and developer partnership positioning for Arabic readers
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-116 — Localize priority content into Arabic > TGTM-915 — Localize Dubai and developer partnership positioning for Arabic readers

Original intent:
Tailor the Arabic messaging to highlight Dubai leadership, market relevance, developer capital formation, and partnership value propositions in a culturally resonant way.

How we are doing this:
Use a content-operations workflow: clarify the audience (developers and developer-partnership decision makers), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through Arabic education hub pages, bilingual landing pages, localized social/email snippets, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Translate into clear Modern Standard Arabic, then transcreate market-specific phrasing so the result sounds native, trustworthy, and aligned with the English source meaning.

Deliverable:
Arabic localized content, bilingual glossary updates, QA notes, and parity confirmation against the English source.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Dubai market/regulatory source pack and approved claims library; Bilingual glossary, English source copy, Arabic reviewer, and regional tone guidance.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.
- For developer-facing content, emphasize readiness, governance, investor reach, and managed execution rather than promising fundraising outcomes.
- For Dubai content, separate market positioning from legal/regulatory claims and keep references citation-ready.
- For Arabic content, use Modern Standard Arabic with regionally natural business language and maintain bilingual meaning parity.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Arabic version preserves source meaning, uses approved terminology, and passes bilingual QA.","10260","TGTM-116","Localize priority content into Arabic"
"Task","TGTM-914","17330","Adapt messaging to emphasize trust, governance, and transparency in Arabic","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-914 — Adapt messaging to emphasize trust, governance, and transparency in Arabic
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-116 — Localize priority content into Arabic > TGTM-914 — Adapt messaging to emphasize trust, governance, and transparency in Arabic

Original intent:
Rewrite key Arabic copy to foreground trust, governance, transparency, and compliance themes so the localized experience reinforces credibility and institutional confidence.

How we are doing this:
Use a content-operations workflow: clarify the audience (Arabic-speaking investors, developers, and regional stakeholders), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through Arabic education hub pages, bilingual landing pages, localized social/email snippets, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Execute this task as a concrete content/SEO work package: confirm scope, create or update the asset, route through review, publish or prepare for activation, and document completion evidence.

Deliverable:
Arabic localized content, bilingual glossary updates, QA notes, and parity confirmation against the English source.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Bilingual glossary, English source copy, Arabic reviewer, and regional tone guidance.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.
- For Arabic content, use Modern Standard Arabic with regionally natural business language and maintain bilingual meaning parity.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Arabic version preserves source meaning, uses approved terminology, and passes bilingual QA.","10260","TGTM-116","Localize priority content into Arabic"
"Task","TGTM-913","17329","Translate the education hub’s priority pages into Arabic","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-913 — Translate the education hub’s priority pages into Arabic
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-116 — Localize priority content into Arabic > TGTM-913 — Translate the education hub’s priority pages into Arabic

Original intent:
Localize the core hub content from English into clear Modern Standard Arabic, covering the most visible sections and calls to action while preserving the original meaning and structure.

How we are doing this:
Use a content-operations workflow: clarify the audience (Arabic-speaking investors, developers, and regional stakeholders), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through Arabic education hub pages, bilingual landing pages, localized social/email snippets, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Translate into clear Modern Standard Arabic, then transcreate market-specific phrasing so the result sounds native, trustworthy, and aligned with the English source meaning.

Deliverable:
Arabic localized content, bilingual glossary updates, QA notes, and parity confirmation against the English source.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Bilingual glossary, English source copy, Arabic reviewer, and regional tone guidance.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.
- For Arabic content, use Modern Standard Arabic with regionally natural business language and maintain bilingual meaning parity.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Arabic version preserves source meaning, uses approved terminology, and passes bilingual QA.","10260","TGTM-116","Localize priority content into Arabic"
"Task","TGTM-912","17327","Set up a recurring review cadence for tracker updates","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-912 — Set up a recurring review cadence for tracker updates
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-115 — Create 6-month content calendar execution tracker > TGTM-912 — Set up a recurring review cadence for tracker updates

Original intent:
Define the process for weekly or biweekly updates, status review, and revision of the calendar tracker as execution progresses.

How we are doing this:
Use a content-operations workflow: clarify the audience (prospective investors, developers, partners, and internal GTM teams), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through shared execution tracker, Jira board, weekly GTM reporting view, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Set a weekly operating rhythm: review progress, unblock dependencies, approve upcoming briefs, check KPI movement, update statuses, and escalate overdue content items.

Deliverable:
Updated execution tracker row/set, ownership fields, KPI fields, and review cadence notes.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Content calendar, owner list, status taxonomy, KPI definitions, and reporting cadence.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Tracker fields are complete, statuses are usable by the GTM team, and review cadence is documented.","10259","TGTM-115","Create 6-month content calendar execution tracker"
"Task","TGTM-909","17318","Add KPI and reporting columns to measure execution progress","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-909 — Add KPI and reporting columns to measure execution progress
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-115 — Create 6-month content calendar execution tracker > TGTM-909 — Add KPI and reporting columns to measure execution progress

Original intent:
Include tracking for progress metrics such as planned vs. completed items, publish dates, traffic or engagement targets, and other relevant reporting fields.

How we are doing this:
Use a content-operations workflow: clarify the audience (prospective investors, developers, partners, and internal GTM teams), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through shared execution tracker, Jira board, weekly GTM reporting view, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Define measurement fields and tests for planned vs completed, organic traffic, impressions, CTR, CTA clicks, leads, conversion rate, email opens/clicks, and qualitative feedback.

Deliverable:
Updated execution tracker row/set, ownership fields, KPI fields, and review cadence notes.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Content calendar, owner list, status taxonomy, KPI definitions, and reporting cadence.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Tracker fields are complete, statuses are usable by the GTM team, and review cadence is documented.","10259","TGTM-115","Create 6-month content calendar execution tracker"
"Task","TGTM-908","17314","Assign owners and delivery checkpoints for each monthly content item","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-908 — Assign owners and delivery checkpoints for each monthly content item
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-115 — Create 6-month content calendar execution tracker > TGTM-908 — Assign owners and delivery checkpoints for each monthly content item

Original intent:
Add responsible parties, reviewers, and milestone checkpoints for every planned asset or activity in the 6-month tracker.

How we are doing this:
Use a content-operations workflow: clarify the audience (prospective investors, developers, partners, and internal GTM teams), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through shared execution tracker, Jira board, weekly GTM reporting view, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Apply a RACI-style ownership model for writer, editor, compliance reviewer, SEO owner, designer, publisher, and final approver, with visible checkpoints per asset.

Deliverable:
Updated execution tracker row/set, ownership fields, KPI fields, and review cadence notes.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Content calendar, owner list, status taxonomy, KPI definitions, and reporting cadence.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Tracker fields are complete, statuses are usable by the GTM team, and review cadence is documented.","10259","TGTM-115","Create 6-month content calendar execution tracker"
"Task","TGTM-907","17315","Map the report’s month-by-month calendar into tracker entries","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-907 — Map the report’s month-by-month calendar into tracker entries
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-115 — Create 6-month content calendar execution tracker > TGTM-907 — Map the report’s month-by-month calendar into tracker entries

Original intent:
Populate the tracker with each month’s planned content items from the report so the execution plan is actionable and sequenced.

How we are doing this:
Use a content-operations workflow: clarify the audience (prospective investors, developers, partners, and internal GTM teams), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through shared execution tracker, Jira board, weekly GTM reporting view, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Convert the report calendar into tracker rows, normalize naming, sequence dependencies, assign draft/review/publish milestones, and tag each item to its campaign objective.

Deliverable:
Updated execution tracker row/set, ownership fields, KPI fields, and review cadence notes.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Content calendar, owner list, status taxonomy, KPI definitions, and reporting cadence.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Tracker fields are complete, statuses are usable by the GTM team, and review cadence is documented.","10259","TGTM-115","Create 6-month content calendar execution tracker"
"Task","TGTM-905","17313","Define the 6-month execution tracker structure and fields","Content & SEO","Medium","To Do","","01/Jul/26 8:44 AM","01/Jul/26 4:07 PM","","Domain: Content & SEO
Issue: TGTM-905 — Define the 6-month execution tracker structure and fields
Level: Task
Hierarchy path: TGTM-10 — Create Dubai tokenized real estate education hub > TGTM-115 — Create 6-month content calendar execution tracker > TGTM-905 — Define the 6-month execution tracker structure and fields

Original intent:
Create the tracker template for the monthly content calendar, including months, content themes, deliverables, owners, due dates, status, dependencies, and notes.

How we are doing this:
Use a content-operations workflow: clarify the audience (prospective investors, developers, partners, and internal GTM teams), confirm the user question/search intent, prepare the brief or source pack, create the asset, route it through editorial/SEO/compliance/localization review as needed, publish or activate through shared execution tracker, Jira board, weekly GTM reporting view, then measure performance and feed learnings back into the content calendar.

Preliminary solution:
Define tracker columns for month, theme, asset, parent story, owner, reviewer, due date, status, dependency, channel, CTA, keyword, URL, KPI target, actual result, and notes.

Deliverable:
Updated execution tracker row/set, ownership fields, KPI fields, and review cadence notes.

Dependencies / inputs:
Approved Blocks Estate positioning, tone of voice, and compliance-safe terminology; Content calendar, owner list, status taxonomy, KPI definitions, and reporting cadence.

Implementation notes:
- Keep the language educational and practical; avoid hype, legal certainty, guaranteed returns, or automatic-liquidity claims.

Acceptance criteria:
- Deliverable is completed in the correct format and linked back to the parent Story objective.
- Content is reviewed for accuracy, brand tone, compliance-safe language, and user clarity.
- Completion evidence is available: draft/link/file/checklist/approval note/status update.
- Tracker fields are complete, statuses are usable by the GTM team, and review cadence is documented.","10259","TGTM-115","Create 6-month content calendar execution tracker"
