Issue Type,Issue key,Issue id,Summary,Components,Components,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Task,TGTM-1086,17675,Document compliance and data-sharing requirements for KYC handoff,Website & Conversion,,,Medium,To Do,,01/Jul/26 9:28 AM,01/Jul/26 3:56 PM,,"Hierarchy / linkage
- Issue: TGTM-1086 (Task) - Document compliance and data-sharing requirements for KYC handoff
- Parent: TGTM-138 - Build account creation and KYC handoff flow (Resolved in this extract).
- Grandparent / Epic context: TGTM-13 - Build developer and investor conversion funnel mechanics
- Hierarchy path: TGTM-13: Build developer and investor conversion funnel mechanics > TGTM-138: Build account creation and KYC handoff flow > TGTM-1086: Document compliance and data-sharing requirements for KYC handoff

Original intent
Capture any compliance, privacy, consent, and data retention requirements that must be met before sending lead or profile data to an external KYC/AML provider.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Use the approved compliance narrative and create a reviewable content block/checklist that explains limits, eligibility, risks, consent, and no-offer boundaries in plain language; route final wording through legal/compliance before publishing. This supports the broader solution: Implement a conversion-state workflow that captures investor/developer intent, creates or updates the user profile, maps profile fields into the selected KYC/AML provider payload, stores handoff events for auditability, and gives the user clear next-step messaging after submission.

Expected deliverable
A signed-off implementation brief/specification with required fields, owners, workflow decisions, and review notes.

Implementation notes
- Work type: analysis/specification.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
KYC/AML provider requirements, consent language, user profile schema, CRM lead fields, privacy/data-retention requirements, compliance review notes, product account-state model.

Measurement / success signals
handoff completion rate, failed handoff rate, KYC start rate, KYC completion rate, time from signup to KYC initiation, support tickets by failure reason.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.
- Compliance-sensitive language is reviewed and does not imply an unapproved offer, guarantee, or unsupported claim.",10282,TGTM-138,Build account creation and KYC handoff flow
Task,TGTM-1085,17673,Create internal operations views for KYC handoff monitoring,Website & Conversion,,,Medium,To Do,,01/Jul/26 9:28 AM,01/Jul/26 3:56 PM,,"Hierarchy / linkage
- Issue: TGTM-1085 (Task) - Create internal operations views for KYC handoff monitoring
- Parent: TGTM-138 - Build account creation and KYC handoff flow (Resolved in this extract).
- Grandparent / Epic context: TGTM-13 - Build developer and investor conversion funnel mechanics
- Hierarchy path: TGTM-13: Build developer and investor conversion funnel mechanics > TGTM-138: Build account creation and KYC handoff flow > TGTM-1085: Create internal operations views for KYC handoff monitoring

Original intent
Provide a simple operational view for tracking pending, successful, and failed handoffs so support or operations teams can monitor conversion bottlenecks.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Document the end-to-end workflow, required fields, state transitions, retry rules, provider routing, audit events, and owner responsibilities so the conversion flow can be implemented and monitored without ambiguity. This supports the broader solution: Implement a conversion-state workflow that captures investor/developer intent, creates or updates the user profile, maps profile fields into the selected KYC/AML provider payload, stores handoff events for auditability, and gives the user clear next-step messaging after submission.

Expected deliverable
Completed Jira-ready deliverable with implementation notes, evidence, and stakeholder approval.

Implementation notes
- Work type: execution.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
KYC/AML provider requirements, consent language, user profile schema, CRM lead fields, privacy/data-retention requirements, compliance review notes, product account-state model.

Measurement / success signals
handoff completion rate, failed handoff rate, KYC start rate, KYC completion rate, time from signup to KYC initiation, support tickets by failure reason.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.",10282,TGTM-138,Build account creation and KYC handoff flow
Task,TGTM-1079,17661,Add user-facing completion and next-step messaging,Website & Conversion,,,Medium,To Do,,01/Jul/26 9:28 AM,01/Jul/26 3:56 PM,,"Hierarchy / linkage
- Issue: TGTM-1079 (Task) - Add user-facing completion and next-step messaging
- Parent: TGTM-138 - Build account creation and KYC handoff flow (Resolved in this extract).
- Grandparent / Epic context: TGTM-13 - Build developer and investor conversion funnel mechanics
- Hierarchy path: TGTM-13: Build developer and investor conversion funnel mechanics > TGTM-138: Build account creation and KYC handoff flow > TGTM-1079: Add user-facing completion and next-step messaging

Original intent
Define the confirmation screens or messages shown after account creation and during KYC handoff so users understand what happened and what they need to do next.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Produce concise, audience-specific copy blocks aligned to the approved positioning, with clear headings, proof points, objections addressed, compliance-safe claims, and CTA-supporting language. This supports the broader solution: Implement a conversion-state workflow that captures investor/developer intent, creates or updates the user profile, maps profile fields into the selected KYC/AML provider payload, stores handoff events for auditability, and gives the user clear next-step messaging after submission.

Expected deliverable
Implemented website/CMS/front-end update with links, screenshots, QA evidence, and owner sign-off.

Implementation notes
- Work type: implementation/configuration.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
KYC/AML provider requirements, consent language, user profile schema, CRM lead fields, privacy/data-retention requirements, compliance review notes, product account-state model.

Measurement / success signals
handoff completion rate, failed handoff rate, KYC start rate, KYC completion rate, time from signup to KYC initiation, support tickets by failure reason.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.",10282,TGTM-138,Build account creation and KYC handoff flow
Task,TGTM-1078,17659,Define error handling and retry logic for KYC handoff failures,Website & Conversion,,,Medium,To Do,,01/Jul/26 9:28 AM,01/Jul/26 3:56 PM,,"Hierarchy / linkage
- Issue: TGTM-1078 (Task) - Define error handling and retry logic for KYC handoff failures
- Parent: TGTM-138 - Build account creation and KYC handoff flow (Resolved in this extract).
- Grandparent / Epic context: TGTM-13 - Build developer and investor conversion funnel mechanics
- Hierarchy path: TGTM-13: Build developer and investor conversion funnel mechanics > TGTM-138: Build account creation and KYC handoff flow > TGTM-1078: Define error handling and retry logic for KYC handoff failures

Original intent
Specify how the flow behaves when provider submission fails, times out, or returns validation errors, including user messaging, retry behavior, and escalation paths.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Document the end-to-end workflow, required fields, state transitions, retry rules, provider routing, audit events, and owner responsibilities so the conversion flow can be implemented and monitored without ambiguity. This supports the broader solution: Implement a conversion-state workflow that captures investor/developer intent, creates or updates the user profile, maps profile fields into the selected KYC/AML provider payload, stores handoff events for auditability, and gives the user clear next-step messaging after submission.

Expected deliverable
A signed-off implementation brief/specification with required fields, owners, workflow decisions, and review notes.

Implementation notes
- Work type: analysis/specification.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
KYC/AML provider requirements, consent language, user profile schema, CRM lead fields, privacy/data-retention requirements, compliance review notes, product account-state model.

Measurement / success signals
handoff completion rate, failed handoff rate, KYC start rate, KYC completion rate, time from signup to KYC initiation, support tickets by failure reason.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.",10282,TGTM-138,Build account creation and KYC handoff flow
Task,TGTM-1077,17653,Set up account creation and KYC status workflow,Website & Conversion,,,Medium,To Do,,01/Jul/26 9:28 AM,01/Jul/26 3:56 PM,,"Hierarchy / linkage
- Issue: TGTM-1077 (Task) - Set up account creation and KYC status workflow
- Parent: TGTM-138 - Build account creation and KYC handoff flow (Resolved in this extract).
- Grandparent / Epic context: TGTM-13 - Build developer and investor conversion funnel mechanics
- Hierarchy path: TGTM-13: Build developer and investor conversion funnel mechanics > TGTM-138: Build account creation and KYC handoff flow > TGTM-1077: Set up account creation and KYC status workflow

Original intent
Define the lifecycle states for account creation, KYC initiation, in-progress review, approved, rejected, and retry states, along with transitions and ownership rules.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Implement the approved structure in the website/CMS/front-end system using reusable components, structured content, QA checks, SEO metadata, analytics hooks, and clean handoff to CRM or downstream workflows where relevant. This supports the broader solution: Implement a conversion-state workflow that captures investor/developer intent, creates or updates the user profile, maps profile fields into the selected KYC/AML provider payload, stores handoff events for auditability, and gives the user clear next-step messaging after submission.

Expected deliverable
Implemented website/CMS/front-end update with links, screenshots, QA evidence, and owner sign-off.

Implementation notes
- Work type: implementation/configuration.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
KYC/AML provider requirements, consent language, user profile schema, CRM lead fields, privacy/data-retention requirements, compliance review notes, product account-state model.

Measurement / success signals
handoff completion rate, failed handoff rate, KYC start rate, KYC completion rate, time from signup to KYC initiation, support tickets by failure reason.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.",10282,TGTM-138,Build account creation and KYC handoff flow
Task,TGTM-1076,17651,Implement handoff event tracking and audit trail,Website & Conversion,,,Medium,To Do,,01/Jul/26 9:28 AM,01/Jul/26 3:56 PM,,"Hierarchy / linkage
- Issue: TGTM-1076 (Task) - Implement handoff event tracking and audit trail
- Parent: TGTM-138 - Build account creation and KYC handoff flow (Resolved in this extract).
- Grandparent / Epic context: TGTM-13 - Build developer and investor conversion funnel mechanics
- Hierarchy path: TGTM-13: Build developer and investor conversion funnel mechanics > TGTM-138: Build account creation and KYC handoff flow > TGTM-1076: Implement handoff event tracking and audit trail

Original intent
Capture timestamps, provider request identifiers, status changes, and operator actions so the handoff from internal profile to external KYC/AML provider is traceable and auditable.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Define page-level events, conversion goals, source/UTM capture, and metadata requirements; implement tracking for CTA clicks, form starts, form submissions, document interactions, scroll depth, and handoff outcomes. This supports the broader solution: Implement a conversion-state workflow that captures investor/developer intent, creates or updates the user profile, maps profile fields into the selected KYC/AML provider payload, stores handoff events for auditability, and gives the user clear next-step messaging after submission.

Expected deliverable
Configured metadata and analytics event plan with validation evidence.

Implementation notes
- Work type: implementation/configuration.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
KYC/AML provider requirements, consent language, user profile schema, CRM lead fields, privacy/data-retention requirements, compliance review notes, product account-state model.

Measurement / success signals
handoff completion rate, failed handoff rate, KYC start rate, KYC completion rate, time from signup to KYC initiation, support tickets by failure reason.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.
- Analytics events and metadata are named consistently, tested, and mapped to the relevant conversion KPI.",10282,TGTM-138,Build account creation and KYC handoff flow
Task,TGTM-1075,17652,Map lead/profile data to KYC provider payload fields,Website & Conversion,,,Medium,To Do,,01/Jul/26 9:28 AM,01/Jul/26 3:56 PM,,"Hierarchy / linkage
- Issue: TGTM-1075 (Task) - Map lead/profile data to KYC provider payload fields
- Parent: TGTM-138 - Build account creation and KYC handoff flow (Resolved in this extract).
- Grandparent / Epic context: TGTM-13 - Build developer and investor conversion funnel mechanics
- Hierarchy path: TGTM-13: Build developer and investor conversion funnel mechanics > TGTM-138: Build account creation and KYC handoff flow > TGTM-1075: Map lead/profile data to KYC provider payload fields

Original intent
Identify the minimum customer, investor, and compliance data needed for handoff and define how each field is transformed or validated before submission to the selected KYC/AML provider.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Document the end-to-end workflow, required fields, state transitions, retry rules, provider routing, audit events, and owner responsibilities so the conversion flow can be implemented and monitored without ambiguity. This supports the broader solution: Implement a conversion-state workflow that captures investor/developer intent, creates or updates the user profile, maps profile fields into the selected KYC/AML provider payload, stores handoff events for auditability, and gives the user clear next-step messaging after submission.

Expected deliverable
A signed-off implementation brief/specification with required fields, owners, workflow decisions, and review notes.

Implementation notes
- Work type: analysis/specification.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
KYC/AML provider requirements, consent language, user profile schema, CRM lead fields, privacy/data-retention requirements, compliance review notes, product account-state model.

Measurement / success signals
handoff completion rate, failed handoff rate, KYC start rate, KYC completion rate, time from signup to KYC initiation, support tickets by failure reason.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.",10282,TGTM-138,Build account creation and KYC handoff flow
Task,TGTM-1074,17650,Define KYC provider selection and routing rules,Website & Conversion,,,Medium,To Do,,01/Jul/26 9:28 AM,01/Jul/26 3:56 PM,,"Hierarchy / linkage
- Issue: TGTM-1074 (Task) - Define KYC provider selection and routing rules
- Parent: TGTM-138 - Build account creation and KYC handoff flow (Resolved in this extract).
- Grandparent / Epic context: TGTM-13 - Build developer and investor conversion funnel mechanics
- Hierarchy path: TGTM-13: Build developer and investor conversion funnel mechanics > TGTM-138: Build account creation and KYC handoff flow > TGTM-1074: Define KYC provider selection and routing rules

Original intent
Specify how the system chooses the appropriate KYC/AML provider based on user type, geography, risk profile, or manual selection, including fallback and exception handling.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Collect approved assets, proof points, visuals, credentials, partner signals, and supporting materials; tag each item by source, approval status, and placement so it can be safely used on the page. This supports the broader solution: Implement a conversion-state workflow that captures investor/developer intent, creates or updates the user profile, maps profile fields into the selected KYC/AML provider payload, stores handoff events for auditability, and gives the user clear next-step messaging after submission.

Expected deliverable
A signed-off implementation brief/specification with required fields, owners, workflow decisions, and review notes.

Implementation notes
- Work type: analysis/specification.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
KYC/AML provider requirements, consent language, user profile schema, CRM lead fields, privacy/data-retention requirements, compliance review notes, product account-state model.

Measurement / success signals
handoff completion rate, failed handoff rate, KYC start rate, KYC completion rate, time from signup to KYC initiation, support tickets by failure reason.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.",10282,TGTM-138,Build account creation and KYC handoff flow
Task,TGTM-1073,17649,Define account creation and KYC handoff user story requirements,Website & Conversion,,,Medium,To Do,,01/Jul/26 9:28 AM,01/Jul/26 3:56 PM,,"Hierarchy / linkage
- Issue: TGTM-1073 (Task) - Define account creation and KYC handoff user story requirements
- Parent: TGTM-138 - Build account creation and KYC handoff flow (Resolved in this extract).
- Grandparent / Epic context: TGTM-13 - Build developer and investor conversion funnel mechanics
- Hierarchy path: TGTM-13: Build developer and investor conversion funnel mechanics > TGTM-138: Build account creation and KYC handoff flow > TGTM-1073: Define account creation and KYC handoff user story requirements

Original intent
Capture the end-to-end requirements for moving a lead or profile into account creation and then handing off to the selected KYC/AML provider, including entry criteria, exit criteria, and ownership boundaries.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Document the end-to-end workflow, required fields, state transitions, retry rules, provider routing, audit events, and owner responsibilities so the conversion flow can be implemented and monitored without ambiguity. This supports the broader solution: Implement a conversion-state workflow that captures investor/developer intent, creates or updates the user profile, maps profile fields into the selected KYC/AML provider payload, stores handoff events for auditability, and gives the user clear next-step messaging after submission.

Expected deliverable
A signed-off implementation brief/specification with required fields, owners, workflow decisions, and review notes.

Implementation notes
- Work type: analysis/specification.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
KYC/AML provider requirements, consent language, user profile schema, CRM lead fields, privacy/data-retention requirements, compliance review notes, product account-state model.

Measurement / success signals
handoff completion rate, failed handoff rate, KYC start rate, KYC completion rate, time from signup to KYC initiation, support tickets by failure reason.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.",10282,TGTM-138,Build account creation and KYC handoff flow
Task,TGTM-803,17109,Validate template usability and content completeness,Website & Conversion,,,Medium,To Do,,01/Jul/26 8:39 AM,01/Jul/26 4:12 PM,,"Hierarchy / linkage
- Issue: TGTM-803 (Task) - Validate template usability and content completeness
- Parent: TGTM-99 - Build offering page template (Resolved in this extract).
- Grandparent / Epic context: TGTM-9 - Build GTM website and landing page system
- Hierarchy path: TGTM-9: Build GTM website and landing page system > TGTM-99: Build offering page template > TGTM-803: Validate template usability and content completeness

Original intent
Review the offering page template for clarity, completeness, and consistency across all required sections before rollout.

How we are doing this
Complete this task as a focused execution unit under the parent Story. Use the parent context to avoid isolated work: every output should improve the relevant page/flow, reduce conversion friction, strengthen trust/compliance, or make lead/account handoff more measurable and operationally usable.

Preliminary solution
Produce concise, audience-specific copy blocks aligned to the approved positioning, with clear headings, proof points, objections addressed, compliance-safe claims, and CTA-supporting language. This supports the broader solution: Create a modular offering template with structured sections for summary, asset details, structure, fees, risks, documents, servicing/reporting, FAQs, and primary CTA so future offerings can be launched from a controlled content model instead of one-off pages.

Expected deliverable
QA/review checklist with pass/fail evidence, fixes logged, and approval status.

Implementation notes
- Work type: QA/review.
- Primary domain: Websites & Conversion for the Blocks Estate GTM campaign.
- Use reusable page sections/components wherever possible so future campaign pages can be launched faster.
- Maintain compliance-safe language, especially around tokenized real estate, eligibility, risks, no-offer boundaries, KYC/AML, fees, and investor/developer claims.
- Ensure each conversion path has clear CTA ownership, source tracking, form behavior, confirmation messaging, and downstream operational routing.
- Document assumptions, open questions, and stakeholder decisions directly in Jira before closing the item.

Dependencies / inputs
offering data model, legal disclosures, fee schedule, risk factors, document repository, reporting/servicing copy, design system components, analytics plan.

Measurement / success signals
template completion readiness, page QA pass rate, CTA click-through, document download rate, FAQ engagement, lead conversion rate.

Acceptance criteria
- The work output directly supports the parent Story and is attached, linked, or documented in Jira.
- Relevant stakeholders can review the output without needing additional explanation.
- Dependencies, assumptions, and open decisions are documented before the issue is moved to Done.",10243,TGTM-99,Build offering page template
