Issue Type,Issue key,Issue id,Summary,Components,Priority,Status,Resolution,Created,Updated,Due date,Description,Parent,Parent key,Parent summary
Task,TGTM-991,17485,Define the post-test reporting and analysis plan,Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:02 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-125 - Create referral/ambassador test plan > Task TGTM-991 - Define the post-test reporting and analysis plan. Direct parent: TGTM-125 - Create referral/ambassador test plan.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Referral / Ambassador Growth Test. Parent objective: Design a Month 6 controlled referral and ambassador test that turns early believers, investors, partners, and advisors into measurable acquisition channels.

ORIGINAL INTENT:
Set up the analysis approach for reviewing results, documenting learnings, and recommending whether to scale the referral program.

WORKSTREAM TYPE:
quality assurance / launch readiness.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Use a campaign QA checklist covering approved copy, Arabic/English consistency where applicable, link integrity, UTM tagging, form submission, CRM routing, event firing, mobile/desktop rendering, stakeholder approvals, and launch owner sign-off.

DELIVERABLE:
Measurement plan and reporting template with UTM structure, event names, CRM fields, dashboard metrics, and learning summary format.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant.",10269,TGTM-125,Create referral/ambassador test plan
Task,TGTM-990,17483,Create the experiment QA and launch checklist,Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:02 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-125 - Create referral/ambassador test plan > Task TGTM-990 - Create the experiment QA and launch checklist. Direct parent: TGTM-125 - Create referral/ambassador test plan.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Referral / Ambassador Growth Test. Parent objective: Design a Month 6 controlled referral and ambassador test that turns early believers, investors, partners, and advisors into measurable acquisition channels.

ORIGINAL INTENT:
List the checks required before launch, including link validation, tracking verification, incentive logic, and approval readiness.

WORKSTREAM TYPE:
quality assurance / launch readiness.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Use a campaign QA checklist covering approved copy, Arabic/English consistency where applicable, link integrity, UTM tagging, form submission, CRM routing, event firing, mobile/desktop rendering, stakeholder approvals, and launch owner sign-off.

DELIVERABLE:
Launch-readiness QA checklist and signed-off issue log covering content, links, forms, tracking, rendering, approvals, and owner resolution.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant; all launch-blocking issues are either resolved or explicitly accepted by the campaign owner.",10269,TGTM-125,Create referral/ambassador test plan
Task,TGTM-989,17481,Draft referral and ambassador messaging for the test,Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:02 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-125 - Create referral/ambassador test plan > Task TGTM-989 - Draft referral and ambassador messaging for the test. Direct parent: TGTM-125 - Create referral/ambassador test plan.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Referral / Ambassador Growth Test. Parent objective: Design a Month 6 controlled referral and ambassador test that turns early believers, investors, partners, and advisors into measurable acquisition channels.

ORIGINAL INTENT:
Create the core copy needed for outreach, onboarding, and participation instructions for the month 6 test.

WORKSTREAM TYPE:
quality assurance / launch readiness.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Use a campaign QA checklist covering approved copy, Arabic/English consistency where applicable, link integrity, UTM tagging, form submission, CRM routing, event firing, mobile/desktop rendering, stakeholder approvals, and launch owner sign-off.

DELIVERABLE:
Referral/ambassador operating document with participant rules, messaging, reward logic, tracking, QA checks, and post-test recommendation template.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant.",10269,TGTM-125,Create referral/ambassador test plan
Task,TGTM-988,17473,Define the referral journey and campaign workflow,Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:02 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-125 - Create referral/ambassador test plan > Task TGTM-988 - Define the referral journey and campaign workflow. Direct parent: TGTM-125 - Create referral/ambassador test plan.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Referral / Ambassador Growth Test. Parent objective: Design a Month 6 controlled referral and ambassador test that turns early believers, investors, partners, and advisors into measurable acquisition channels.

ORIGINAL INTENT:
Map the end-to-end process from invitation to referral submission, qualification, conversion tracking, and reward fulfillment.

WORKSTREAM TYPE:
tracking, analytics, and reporting.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Set up a measurement plan with source UTMs, required campaign events, CRM fields, dashboard views, success thresholds, reporting cadence, and a post-campaign learning template that connects traffic, conversion, and lead quality.

DELIVERABLE:
Referral/ambassador operating document with participant rules, messaging, reward logic, tracking, QA checks, and post-test recommendation template.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used, analytics access, CRM fields/tags, UTM naming convention, landing-page/form access.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant; test events/forms/UTMs/CRM fields are validated before campaign goes live.",10269,TGTM-125,Create referral/ambassador test plan
Task,TGTM-987,17475,"Design the referral offer structure, incentives, and reward logic",Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:02 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-125 - Create referral/ambassador test plan > Task TGTM-987 - Design the referral offer structure, incentives, and reward logic. Direct parent: TGTM-125 - Create referral/ambassador test plan.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Referral / Ambassador Growth Test. Parent objective: Design a Month 6 controlled referral and ambassador test that turns early believers, investors, partners, and advisors into measurable acquisition channels.

ORIGINAL INTENT:
Outline the referral/ambassador incentive model, reward thresholds, payout rules, and any caps or fraud-prevention considerations.

WORKSTREAM TYPE:
event activation.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Create an event activation kit with attendee list, agenda, invitation copy, talking points, printed/digital collateral, capture mechanism, owner roles, post-event follow-up sequence, and lead-quality tagging.

DELIVERABLE:
Referral/ambassador operating document with participant rules, messaging, reward logic, tracking, QA checks, and post-test recommendation template.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used, attendee criteria, venue/logistics owner, founder availability, event budget.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant.",10269,TGTM-125,Create referral/ambassador test plan
Task,TGTM-986,17472,Prepare referral tracking and attribution requirements,Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:02 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-125 - Create referral/ambassador test plan > Task TGTM-986 - Prepare referral tracking and attribution requirements. Direct parent: TGTM-125 - Create referral/ambassador test plan.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Referral / Ambassador Growth Test. Parent objective: Design a Month 6 controlled referral and ambassador test that turns early believers, investors, partners, and advisors into measurable acquisition channels.

ORIGINAL INTENT:
Specify the fields, event tracking, links, and reporting needed to measure referrals, conversions, and ambassador performance accurately.

WORKSTREAM TYPE:
quality assurance / launch readiness.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Use a campaign QA checklist covering approved copy, Arabic/English consistency where applicable, link integrity, UTM tagging, form submission, CRM routing, event firing, mobile/desktop rendering, stakeholder approvals, and launch owner sign-off.

DELIVERABLE:
Measurement plan and reporting template with UTM structure, event names, CRM fields, dashboard metrics, and learning summary format.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant.",10269,TGTM-125,Create referral/ambassador test plan
Task,TGTM-985,17474,"Document the referral and ambassador test audience, eligibility, and segmentation rules",Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:02 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-125 - Create referral/ambassador test plan > Task TGTM-985 - Document the referral and ambassador test audience, eligibility, and segmentation rules. Direct parent: TGTM-125 - Create referral/ambassador test plan.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Referral / Ambassador Growth Test. Parent objective: Design a Month 6 controlled referral and ambassador test that turns early believers, investors, partners, and advisors into measurable acquisition channels.

ORIGINAL INTENT:
Specify which investor groups, ambassadors, or partner segments are included in the test, plus any exclusion criteria and cohort definitions.

WORKSTREAM TYPE:
quality assurance / launch readiness.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Use a campaign QA checklist covering approved copy, Arabic/English consistency where applicable, link integrity, UTM tagging, form submission, CRM routing, event firing, mobile/desktop rendering, stakeholder approvals, and launch owner sign-off.

DELIVERABLE:
Referral/ambassador operating document with participant rules, messaging, reward logic, tracking, QA checks, and post-test recommendation template.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant.",10269,TGTM-125,Create referral/ambassador test plan
Task,TGTM-984,17471,"Define month 6 referral and ambassador test objectives, hypotheses, and success metrics",Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:02 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-125 - Create referral/ambassador test plan > Task TGTM-984 - Define month 6 referral and ambassador test objectives, hypotheses, and success metrics. Direct parent: TGTM-125 - Create referral/ambassador test plan.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Referral / Ambassador Growth Test. Parent objective: Design a Month 6 controlled referral and ambassador test that turns early believers, investors, partners, and advisors into measurable acquisition channels.

ORIGINAL INTENT:
Clarify what the investor referral scale test is meant to prove, including primary hypotheses, target KPIs, and pass/fail criteria for month 6.

WORKSTREAM TYPE:
quality assurance / launch readiness.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Use a campaign QA checklist covering approved copy, Arabic/English consistency where applicable, link integrity, UTM tagging, form submission, CRM routing, event firing, mobile/desktop rendering, stakeholder approvals, and launch owner sign-off.

DELIVERABLE:
Referral/ambassador operating document with participant rules, messaging, reward logic, tracking, QA checks, and post-test recommendation template.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant.",10269,TGTM-125,Create referral/ambassador test plan
Task,TGTM-974,17451,QA institutional campaign assets and links across formats,Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:04 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-122 - Build institutional campaign: Infrastructure for Responsible Real Estate Digital Investment Products > Task TGTM-974 - QA institutional campaign assets and links across formats. Direct parent: TGTM-122 - Build institutional campaign: Infrastructure for Responsible Real Estate Digital Investment Products.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Institutional Campaign - Infrastructure for Responsible Real Estate Digital Investment Products. Parent objective: Build institutional credibility with law firms, DIFC/ADGM ecosystem stakeholders, wealth managers, family offices, and fintech-event audiences by explaining the responsible infrastructure behind the model.

ORIGINAL INTENT:
Check all published campaign materials for content accuracy, brand consistency, link integrity, and rendering across desktop and mobile.

WORKSTREAM TYPE:
quality assurance / launch readiness.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Use a campaign QA checklist covering approved copy, Arabic/English consistency where applicable, link integrity, UTM tagging, form submission, CRM routing, event firing, mobile/desktop rendering, stakeholder approvals, and launch owner sign-off.

DELIVERABLE:
Launch-readiness QA checklist and signed-off issue log covering content, links, forms, tracking, rendering, approvals, and owner resolution.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant; all launch-blocking issues are either resolved or explicitly accepted by the campaign owner.",10266,TGTM-122,Build institutional campaign: Infrastructure for Responsible Real Estate Digital Investment Products
Task,TGTM-972,17447,Publish institutional campaign assets across approved channels,Campaigns,Medium,To Do,,01/Jul/26 8:47 AM,01/Jul/26 4:04 PM,,"HIERARCHY / LINKAGE:
Epic TGTM-11 - Run pre-launch, launch, post-launch, developer, investor, and institutional campaigns > Story TGTM-122 - Build institutional campaign: Infrastructure for Responsible Real Estate Digital Investment Products > Task TGTM-972 - Publish institutional campaign assets across approved channels. Direct parent: TGTM-122 - Build institutional campaign: Infrastructure for Responsible Real Estate Digital Investment Products.

PARENT CAMPAIGN CONTEXT:
This Task contributes to Institutional Campaign - Infrastructure for Responsible Real Estate Digital Investment Products. Parent objective: Build institutional credibility with law firms, DIFC/ADGM ecosystem stakeholders, wealth managers, family offices, and fintech-event audiences by explaining the responsible infrastructure behind the model.

ORIGINAL INTENT:
Deploy the finalized materials to the relevant landing pages, email campaigns, partner decks, and event channels once approved.

WORKSTREAM TYPE:
landing page / conversion flow.

HOW WE ARE DOING THIS:
Translate the parent Story into an executable deliverable for this specific workstream. Start from the campaign brief, confirm the audience/CTA/channel assumptions, produce the required asset or operating document, validate it against legal/commercial/brand/tracking needs, then hand it off to the next dependent Task in the campaign sequence.

PRELIMINARY SOLUTION:
Ship a conversion flow with a clear above-the-fold promise, trust/proof section, simple form, source tracking, CRM tagging, thank-you state, nurture trigger, and privacy/compliance language before launch.

DELIVERABLE:
Channel publishing plan with asset URLs, owners, scheduling, UTM links, launch confirmations, and first-day monitoring notes.

IMPLEMENTATION NOTES:
Keep the output practical enough for immediate use by the GTM team. Include owner, status, due date, asset links/placeholders, open questions, and next action. Where this Task touches conversion or outreach, ensure the CTA, CRM tag, source/UTM, and follow-up owner are defined. Where this Task touches messaging, separate factual claims from persuasion language so legal/compliance review is faster.

DEPENDENCIES / INPUTS:
approved positioning/messaging, campaign owner, final CTA and offer, brand guidelines, legal/compliance guidance where claims are used, web/no-code owner, form/CRM integration, privacy language, tracking plan.

ACCEPTANCE CRITERIA:
deliverable is produced in a reusable format and linked/stored in the campaign workspace; parent Story context is reflected in the output and no orphan assumptions remain; required stakeholders have reviewed or been assigned clear review actions; tracking, CTA, compliance, and handoff requirements are documented where relevant; campaign is published only after approvals, final links, and monitoring owners are confirmed.",10266,TGTM-122,Build institutional campaign: Infrastructure for Responsible Real Estate Digital Investment Products
