"Issue Type","Issue key","Issue id","Summary","Components","Priority","Status","Resolution","Created","Updated","Due date","Description","Parent","Parent key","Parent summary"
"Task","TGTM-1244","17991","Summarize key insights and actionable recommendations from the tracking","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Parent: TGTM-158 (External / not in extract) - Track share of voice vs competitors | Current item: TGTM-1244 (Task) - Summarize key insights and actionable recommendations from the tracking

Original intent:
Translate share-of-voice trends into concise recommendations for PR, founder thought leadership, events, and partner-led activity.

How we are doing this:
This item supports the share-of-voice and competitive visibility measurement workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to measure whether Blocks is gaining credible visibility relative to competing platforms, developers, tokenization players, proptech companies, and adjacent RWA narratives. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) review the latest trend and performance data; 2) separate raw observations from strategic implications; 3) identify which channels, topics, audiences, or competitors require action; 4) write concise recommendations with owner, priority, expected impact, and next step; 5) feed the recommendations into PR, content, event, and founder-led outreach planning.

Expected deliverable:
A completed share-of-voice and competitive visibility measurement artifact or operating process that is ready for GTM team use.

Dependencies / required inputs:
competitor list, media/social/search sources, monitoring tool exports, LinkedIn activity, press mentions, event coverage, podcast mentions, sentiment tags, topic taxonomy, campaign calendar.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Parent key TGTM-158 was provided in the CSV but is not included in this extract; preserve that linkage during Jira import.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the share-of-voice and competitive visibility measurement workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10302","TGTM-158","Track share of voice vs competitors"
"Task","TGTM-1243","17989","Baseline current Blocks and competitor share of voice","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Parent: TGTM-158 (External / not in extract) - Track share of voice vs competitors | Current item: TGTM-1243 (Task) - Baseline current Blocks and competitor share of voice

Original intent:
Run an initial benchmark to capture the current state of Blocks versus competitors and establish a reference point for future comparison.

How we are doing this:
This item supports the share-of-voice and competitive visibility measurement workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to measure whether Blocks is gaining credible visibility relative to competing platforms, developers, tokenization players, proptech companies, and adjacent RWA narratives. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) define the baseline window and channels to measure; 2) collect Blocks and competitor mentions from agreed monitoring sources; 3) tag each mention by channel, topic, sentiment, quality, and audience relevance; 4) calculate the starting share-of-voice view and document data gaps; 5) publish the benchmark as the comparison point for future PR and event reporting.

Expected deliverable:
A baseline share-of-voice report showing Blocks versus agreed competitors, with source notes and data limitations.

Dependencies / required inputs:
competitor list, media/social/search sources, monitoring tool exports, LinkedIn activity, press mentions, event coverage, podcast mentions, sentiment tags, topic taxonomy, campaign calendar.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Parent key TGTM-158 was provided in the CSV but is not included in this extract; preserve that linkage during Jira import.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the share-of-voice and competitive visibility measurement workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10302","TGTM-158","Track share of voice vs competitors"
"Task","TGTM-1242","17987","Establish measurement criteria for breakfast effectiveness","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Grandparent: TGTM-15 (Epic) - Build PR, founder thought leadership, events, and private roundtable motion | Parent: TGTM-157 (Story) - Create developer breakfast format | Current item: TGTM-1242 (Task) - Establish measurement criteria for breakfast effectiveness

Original intent:
Set success metrics and feedback questions to evaluate whether the breakfast format is building trust and advancing relationships.

How we are doing this:
This item supports the small-group developer breakfast relationship format workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to create a repeatable high-trust breakfast format for strategic developer relationship building in Dubai. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) define the objective of the session and the decision or relationship outcome it should create; 2) structure the flow from opening context to education, discussion, objections, Q&A, and next steps; 3) write prompts that surface real concerns without turning the session into a sales pitch; 4) assign roles for host, moderator, speaker, note-taker, and follow-up owner; 5) convert the agenda into a repeatable run-of-show or facilitator guide.

Expected deliverable:
A completed small-group developer breakfast relationship format artifact or operating process that is ready for GTM team use.

Dependencies / required inputs:
developer ICPs, priority account list, partner/referrer suggestions, founder/developer objections, venue options, hospitality budget, discussion themes, follow-up templates, CRM notes.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the small-group developer breakfast relationship format workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10301","TGTM-157","Create developer breakfast format"
"Task","TGTM-1241","17985","Document post-breakfast follow-up and next-step actions","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Grandparent: TGTM-15 (Epic) - Build PR, founder thought leadership, events, and private roundtable motion | Parent: TGTM-157 (Story) - Create developer breakfast format | Current item: TGTM-1241 (Task) - Document post-breakfast follow-up and next-step actions

Original intent:
Define how to capture notes, send thank-you messages, share relevant materials, and route follow-ups after each breakfast.

How we are doing this:
This item supports the small-group developer breakfast relationship format workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to create a repeatable high-trust breakfast format for strategic developer relationship building in Dubai. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) define the objective of the session and the decision or relationship outcome it should create; 2) structure the flow from opening context to education, discussion, objections, Q&A, and next steps; 3) write prompts that surface real concerns without turning the session into a sales pitch; 4) assign roles for host, moderator, speaker, note-taker, and follow-up owner; 5) convert the agenda into a repeatable run-of-show or facilitator guide.

Expected deliverable:
A post-interaction follow-up workflow with templates, owners, timing, CRM fields, and conversion outcomes.

Dependencies / required inputs:
developer ICPs, priority account list, partner/referrer suggestions, founder/developer objections, venue options, hospitality budget, discussion themes, follow-up templates, CRM notes.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the small-group developer breakfast relationship format workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10301","TGTM-157","Create developer breakfast format"
"Task","TGTM-1240","17980","Create a tagging and categorization taxonomy for mentions","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Parent: TGTM-158 (External / not in extract) - Track share of voice vs competitors | Current item: TGTM-1240 (Task) - Create a tagging and categorization taxonomy for mentions

Original intent:
Define categories for channel, topic, event type, audience, and sentiment so competitor and Blocks coverage can be compared consistently.

How we are doing this:
This item supports the share-of-voice and competitive visibility measurement workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to measure whether Blocks is gaining credible visibility relative to competing platforms, developers, tokenization players, proptech companies, and adjacent RWA narratives. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) define controlled tags for channel, source type, audience, topic, sentiment, event type, and mention quality; 2) document examples for each tag so multiple team members classify mentions consistently; 3) test the taxonomy on a sample of Blocks and competitor mentions; 4) adjust ambiguous categories and finalize the tagging rules; 5) embed the taxonomy in the tracker or dashboard used for ongoing reporting.

Expected deliverable:
A tagging taxonomy document with definitions, examples, usage rules, and a pilot-tested classification sample.

Dependencies / required inputs:
competitor list, media/social/search sources, monitoring tool exports, LinkedIn activity, press mentions, event coverage, podcast mentions, sentiment tags, topic taxonomy, campaign calendar.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Parent key TGTM-158 was provided in the CSV but is not included in this extract; preserve that linkage during Jira import.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the share-of-voice and competitive visibility measurement workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10302","TGTM-158","Track share of voice vs competitors"
"Task","TGTM-1239","17976","Identify the data sources and monitoring tools for share-of-voice tracking","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Parent: TGTM-158 (External / not in extract) - Track share of voice vs competitors | Current item: TGTM-1239 (Task) - Identify the data sources and monitoring tools for share-of-voice tracking

Original intent:
List the publications, social platforms, event coverage sources, search signals, and media monitoring tools that will be used to collect competitor and Blocks mentions.

How we are doing this:
This item supports the share-of-voice and competitive visibility measurement workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to measure whether Blocks is gaining credible visibility relative to competing platforms, developers, tokenization players, proptech companies, and adjacent RWA narratives. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) list all relevant sources across press, LinkedIn, podcasts, event pages, partner posts, search, newsletters, and competitor websites; 2) select the minimum viable monitoring stack and define what each tool/source contributes; 3) document source owner, refresh frequency, export format, and limitations; 4) create a repeatable collection workflow for weekly or monthly tracking; 5) flag paid tools or manual research steps that require budget or ownership decisions.

Expected deliverable:
A completed share-of-voice and competitive visibility measurement artifact or operating process that is ready for GTM team use.

Dependencies / required inputs:
competitor list, media/social/search sources, monitoring tool exports, LinkedIn activity, press mentions, event coverage, podcast mentions, sentiment tags, topic taxonomy, campaign calendar.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Parent key TGTM-158 was provided in the CSV but is not included in this extract; preserve that linkage during Jira import.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the share-of-voice and competitive visibility measurement workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10302","TGTM-158","Track share of voice vs competitors"
"Task","TGTM-1238","17979","Establish the reporting cadence and update process","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Parent: TGTM-158 (External / not in extract) - Track share of voice vs competitors | Current item: TGTM-1238 (Task) - Establish the reporting cadence and update process

Original intent:
Set a weekly or monthly process for updating the tracker, reviewing trends, and sharing insights with the GTM team.

How we are doing this:
This item supports the share-of-voice and competitive visibility measurement workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to measure whether Blocks is gaining credible visibility relative to competing platforms, developers, tokenization players, proptech companies, and adjacent RWA narratives. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) define weekly, monthly, and campaign-based reporting rhythms; 2) assign owners for data refresh, interpretation, and recommendation writing; 3) create a standard report format with trend, insight, implication, and recommended action; 4) connect findings to PR, founder content, event, and partner outreach decisions; 5) store reports in a shared location so progress can be compared over time.

Expected deliverable:
A recurring reporting process with calendar, owners, data sources, report template, and action routing.

Dependencies / required inputs:
competitor list, media/social/search sources, monitoring tool exports, LinkedIn activity, press mentions, event coverage, podcast mentions, sentiment tags, topic taxonomy, campaign calendar.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Parent key TGTM-158 was provided in the CSV but is not included in this extract; preserve that linkage during Jira import.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the share-of-voice and competitive visibility measurement workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10302","TGTM-158","Track share of voice vs competitors"
"Task","TGTM-1237","17977","Build a share-of-voice tracking dashboard","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Parent: TGTM-158 (External / not in extract) - Track share of voice vs competitors | Current item: TGTM-1237 (Task) - Build a share-of-voice tracking dashboard

Original intent:
Create a repeatable dashboard or tracker that compares Blocks against competitors using agreed metrics such as mention volume, reach, engagement, and sentiment.

How we are doing this:
This item supports the share-of-voice and competitive visibility measurement workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to measure whether Blocks is gaining credible visibility relative to competing platforms, developers, tokenization players, proptech companies, and adjacent RWA narratives. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) define the dashboard views needed by founder, marketing, PR, and sales stakeholders; 2) structure the data model around mentions, competitors, channels, topics, sentiment, and source quality; 3) build views for trend, competitor comparison, topic ownership, and action recommendations; 4) add owner, refresh cadence, and interpretation notes so the dashboard drives decisions; 5) validate the dashboard against a sample reporting period before launch.

Expected deliverable:
A working dashboard or tracker with defined fields, views, refresh cadence, owner, interpretation notes, and example outputs.

Dependencies / required inputs:
competitor list, media/social/search sources, monitoring tool exports, LinkedIn activity, press mentions, event coverage, podcast mentions, sentiment tags, topic taxonomy, campaign calendar.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Parent key TGTM-158 was provided in the CSV but is not included in this extract; preserve that linkage during Jira import.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the share-of-voice and competitive visibility measurement workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10302","TGTM-158","Track share of voice vs competitors"
"Task","TGTM-1236","17975","Define the competitor set and share-of-voice measurement framework","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Parent: TGTM-158 (External / not in extract) - Track share of voice vs competitors | Current item: TGTM-1236 (Task) - Define the competitor set and share-of-voice measurement framework

Original intent:
Confirm which competitors are in scope beyond PRYPCO, Stake, SmartCrowd, and Deed, and define how share of voice will be measured across PR, social, events, thought leadership, and other relevant channels.

How we are doing this:
This item supports the share-of-voice and competitive visibility measurement workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to measure whether Blocks is gaining credible visibility relative to competing platforms, developers, tokenization players, proptech companies, and adjacent RWA narratives. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) define direct and adjacent competitors relevant to Dubai real estate, tokenization, proptech, fintech, and RWA narratives; 2) group competitors by category so comparisons remain fair; 3) define what counts as a mention and how mention quality is weighted; 4) document formulas or scoring logic for share-of-voice reporting; 5) align the measurement framework with the GTM reporting cadence.

Expected deliverable:
A completed share-of-voice and competitive visibility measurement artifact or operating process that is ready for GTM team use.

Dependencies / required inputs:
competitor list, media/social/search sources, monitoring tool exports, LinkedIn activity, press mentions, event coverage, podcast mentions, sentiment tags, topic taxonomy, campaign calendar.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Parent key TGTM-158 was provided in the CSV but is not included in this extract; preserve that linkage during Jira import.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the share-of-voice and competitive visibility measurement workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10302","TGTM-158","Track share of voice vs competitors"
"Task","TGTM-1235","17973","Create invitation and RSVP process templates","PR & Events","Medium","To Do","","01/Jul/26 9:40 AM","01/Jul/26 3:37 PM","","Hierarchy / linkage:
Grandparent: TGTM-15 (Epic) - Build PR, founder thought leadership, events, and private roundtable motion | Parent: TGTM-157 (Story) - Create developer breakfast format | Current item: TGTM-1235 (Task) - Create invitation and RSVP process templates

Original intent:
Draft the outreach template, RSVP workflow, reminder cadence, and any pre-event confirmation steps for private breakfasts.

How we are doing this:
This item supports the small-group developer breakfast relationship format workstream inside the broader PR, founder thought leadership, events, and private roundtable motion. The practical approach is to create a repeatable high-trust breakfast format for strategic developer relationship building in Dubai. Work should be executed with a clear owner, reusable output format, documented assumptions, and a handoff path into the related PR, founder content, event, investor, developer, or reporting motion.

Preliminary solution:
Execute this Task as a production-ready component of the parent Story. Use the parent Story objective to decide scope, inputs, deliverable format, review owner, and handoff path. Execution sequence: 1) define the target audience and qualification criteria; 2) build the list using CRM data, founder network, partner referrals, ecosystem research, and strategic account priorities; 3) segment contacts by priority, relationship strength, role, ICP fit, and desired next step; 4) create invite or outreach copy that is personal, credible, and compliant; 5) track response status, follow-up owner, next action, and conversion outcome.

Expected deliverable:
A qualified list, segmentation model, outreach workflow, invite copy, RSVP tracker, and next-step routing logic.

Dependencies / required inputs:
developer ICPs, priority account list, partner/referrer suggestions, founder/developer objections, venue options, hospitality budget, discussion themes, follow-up templates, CRM notes.

Implementation notes:
- Component/domain: PR & Events.
- Priority/status from Jira import: Medium / To Do.
- Store outputs in the shared GTM workspace and link the final artifact, tracker, copy, or playbook back to the Jira item before closing.
- Where the item creates external-facing language, route it through the approved positioning/compliance review path before publication or distribution.

Acceptance criteria:
- The work output directly supports the small-group developer breakfast relationship format workstream and is aligned with the parent context.
- The output identifies owner, intended audience, inputs used, execution steps, and next action.
- Claims are factual, source-backed where needed, and free from hype, guarantees, or unsupported investment language.
- The deliverable can be reused by founder, PR, marketing, partnerships, investor relations, or developer acquisition teams without needing major reinterpretation.
- Dependencies, open questions, and approval needs are documented before the item is marked complete.","10301","TGTM-157","Create developer breakfast format"
